"","LUAD16T","LUAD18T","LUAD1T","LUAD23T","PDO1","PDO2","PDO4","PDO5","PDO6","PDO23_MDO1_DIAPH","PDO23_MDO1_Liver","PDO23_MDO2_Brain","PDO6_MDO_Brain","PDO23_MDO3_GB"
"TSPAN6",5.76362169217309,5.71950726205742,5.43003546434821,5.74175508400307,6.35049119140478,6.68111963814501,7.35427886273813,7.35026679537148,3.85465533008313,6.2343925583307,5.2541690413376,5.56361954467273,4.4019412358998,5.9857072740666
"DPM1",4.80240892030643,4.67488992717325,5.15864960389907,6.18085753304397,5.28482939281502,4.65634244986133,5.27192675370477,5.82896778290051,5.00345833220789,5.55285321145881,6.05194448109121,5.95614598185758,4.87979041419866,5.89144446641401
"SCYL3",3.77941085613773,2.95176823038901,2.63565258651022,3.40762447874763,2.97182245525625,3.68237531861055,3.71648698113513,4.0011761959843,3.46653040376798,3.42347191364291,3.50052668638613,3.41207930740251,3.70525986643104,2.96238696533388
"C1orf112",2.72356637729842,2.95176823038901,2.75330893008448,3.35586071363762,1.93305859454425,2.63878154430604,2.96472520204985,3.29665612941192,3.96008922795355,3.55461048555238,3.55194658929152,3.18055759848025,3.52086613382335,3.67025824011014
"FGR",4.64510109802344,4.13992299321411,4.76228578835292,4.08492570227981,0,1.09879615453548,0.61717064188862,0.411379750449019,0.740093363792366,0,0,0.369904400412676,0,0.134558978705204
"CFH",6.72538901549732,6.7832455760317,6.0902019492559,6.7133761624324,6.14967001374318,7.99033217506664,7.40230591821447,4.82713014604262,3.24335702906802,7.12960870331754,4.32142580528786,2.13431935400917,1.72833064053778,6.22980070691992
"FUCA2",5.88782499365202,5.8839415242403,5.96316450022129,6.88799341135968,6.65621544553296,6.89289549077265,6.0760903750606,5.27417229874276,6.19752464832012,7.51263709230425,7.89825051879575,6.68077551416539,5.99709335435435,7.16569949776601
"GCLC",5.51349524240965,3.83527524762736,3.67234217681868,8.50234679425231,6.16053883956122,5.3958622380914,7.66344344597462,7.82458128055486,6.81392060114824,9.44065502670561,10.0913609599886,7.94649580174425,5.92298734624879,9.52583493874882
"NFYA",5.06303414559532,4.98433664049953,4.53059397590977,6.39346967402138,4.39224293972991,4.95913870787681,4.97408194503657,4.61040223062579,5.27495878233252,6.70373370060814,5.90148848713381,6.30229043296001,4.8254319730968,6.56007465913205
"STPG1",3.19650284384502,3.42859142501237,3.25019104103539,3.696911594427,3.27161224707957,3.71575074138216,3.60222080057014,3.82764482333287,3.2057384176985,3.27025778570279,4.50222428157511,3.72429760900841,3.0015083125346,3.62525103454889
