NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMP2	129	1.6654012203216553	0.014437906	No	
row_1	IFNE	557	1.1399606466293335	0.004465975	No	
row_2	IL18	988	0.9247769713401794	-0.008524386	No	
row_3	HLA-G	1022	0.9140272736549377	0.001615422	No	
row_4	STAT3	1448	0.7713433504104614	-0.013108692	No	
row_5	RAPGEF3	1849	0.6819717288017273	-0.027547901	No	
row_6	BCL10	2303	0.5889464616775513	-0.046322834	No	
row_7	SYK	2894	0.4971923232078552	-0.07434079	No	
row_8	RNF8	3741	0.38444557785987854	-0.118854865	No	
row_9	TLR4	4832	0.26929381489753723	-0.17919339	No	
row_10	CTSH	5827	0.1844266653060913	-0.2350255	No	
row_11	CD81	6122	0.16014797985553741	-0.25014424	No	
row_12	EXOSC6	6403	0.14007951319217682	-0.26470742	No	
row_13	TNFRSF11A	6604	0.12646208703517914	-0.27476087	No	
row_14	TMEM98	7047	0.09649551659822464	-0.29939625	No	
row_15	MSH6	7128	0.09005331993103027	-0.30289626	No	
row_16	JAG1	7501	0.06637636572122574	-0.3238261	No	
row_17	PIK3CD	7914	0.04285067319869995	-0.3474115	No	
row_18	EXOSC3	8152	0.029376614838838577	-0.3609164	No	
row_19	HSPD1	8288	0.021338554099202156	-0.36854824	No	
row_20	RAP1GAP	8415	0.013633586466312408	-0.37575427	No	
row_21	LIG4	8653	3.4952990245074034E-4	-0.38964263	No	
row_22	CARD9	9045	-0.020717794075608253	-0.41228938	No	
row_23	RORC	9073	-0.02257658541202545	-0.4135739	No	
row_24	RIPK2	9142	-0.026888102293014526	-0.41720486	No	
row_25	BACH2	9311	-0.035152554512023926	-0.42658868	No	
row_26	TEC	9353	-0.038144808262586594	-0.42848822	No	
row_27	CSF2RB	9467	-0.04494353383779526	-0.43451858	No	
row_28	JAK1	9484	-0.04611245542764664	-0.43484735	No	
row_29	TXK	9698	-0.05744191259145737	-0.44657463	No	
row_30	SOCS3	9834	-0.06558205932378769	-0.453622	No	
row_31	IL18R1	10060	-0.07960314303636551	-0.46575996	No	
row_32	PCYT1A	10463	-0.1075107604265213	-0.48790503	No	
row_33	MSH2	10487	-0.10908801853656769	-0.48781225	No	
row_34	CD74	10493	-0.1095699816942215	-0.48665792	No	
row_35	GNL1	10839	-0.13555951416492462	-0.50509113	No	
row_36	BATF	10950	-0.14275938272476196	-0.50965345	No	
row_37	HLA-DRB1	11044	-0.14867684245109558	-0.51314116	No	
row_38	RAPGEF4	11127	-0.15516307950019836	-0.5158983	No	
row_39	HMGB1	11404	-0.17734460532665253	-0.52973473	No	
row_40	C4BPA	11417	-0.17803917825222015	-0.52808625	No	
row_41	MICA	11449	-0.18038755655288696	-0.52752054	No	
row_42	IGHA1	11802	-0.2121950089931488	-0.54535174	No	
row_43	FCRLB	12268	-0.25390031933784485	-0.56925607	No	
row_44	IGHG4	12453	-0.27027976512908936	-0.57647175	No	
row_45	IGHA2	12529	-0.27621567249298096	-0.5772195	No	
row_46	LEF1	12542	-0.2774903178215027	-0.57425725	No	
row_47	IFNG	12597	-0.2833268344402313	-0.57368004	No	
row_48	IGLL5	12627	-0.28625068068504333	-0.57159865	No	
row_49	IGLC1	12696	-0.29257825016975403	-0.5717199	No	
row_50	IGLC3	12778	-0.301393985748291	-0.5724867	No	
row_51	IGLC2	12847	-0.30872073769569397	-0.57239467	No	
row_52	IGKC	12864	-0.3099561035633087	-0.56923807	No	
row_53	ZP3	12949	-0.31890609860420227	-0.56994945	No	
row_54	IGHG1	13000	-0.3232658803462982	-0.5686101	No	
row_55	RNF168	13024	-0.3253920078277588	-0.56565994	No	
row_56	IGHG3	13277	-0.35357874631881714	-0.57576144	No	
row_57	FCGR2A	13331	-0.3590761125087738	-0.57412493	No	
row_58	IGHG2	13353	-0.36126241087913513	-0.57058364	No	
row_59	IGHV2-26	13411	-0.36747410893440247	-0.5690707	No	
row_60	ADAM17	13430	-0.3691031336784363	-0.56525004	No	
row_61	IGHD	13648	-0.3918214440345764	-0.5727946	No	
row_62	IGHM	13660	-0.3934091627597809	-0.56824255	No	
row_63	TNFRSF21	13679	-0.3950575888156891	-0.564079	No	
row_64	IL6	13800	-0.4080188274383545	-0.5657235	No	
row_65	C1R	13925	-0.42286619544029236	-0.5674063	No	
row_66	IGHV4-59	13940	-0.4244635999202728	-0.56261986	No	
row_67	C1QA	14207	-0.4610452950000763	-0.5721224	No	
row_68	HLA-E	14446	-0.4966680109500885	-0.579513	Yes	
row_69	RAG1	14493	-0.5024496912956238	-0.5755722	Yes	
row_70	C1QC	14504	-0.5047339797019958	-0.56949085	Yes	
row_71	CTSS	14508	-0.5050502419471741	-0.562995	Yes	
row_72	CR1	14605	-0.5211798548698425	-0.5617378	Yes	
row_73	STAT4	14666	-0.5318191051483154	-0.5582297	Yes	
row_74	FCGR3A	14778	-0.5478093028068542	-0.55749995	Yes	
row_75	IL18RAP	14818	-0.5552241206169128	-0.55245167	Yes	
row_76	IGHV5-51	14859	-0.5625253915786743	-0.54736555	Yes	
row_77	CD46	14909	-0.5714734792709351	-0.5426888	Yes	
