NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM1	91	1.7593356370925903	0.03508261	No	
row_1	ITPR3	2336	0.5843865871429443	-0.08251302	No	
row_2	BLNK	2554	0.5472709536552429	-0.08261662	No	
row_3	SYK	2894	0.4971923232078552	-0.0909929	No	
row_4	DAPP1	3027	0.4797284007072449	-0.08768468	No	
row_5	ITPR2	3555	0.4083336889743805	-0.109077394	No	
row_6	STIM1	3581	0.40511366724967957	-0.10123531	No	
row_7	FYN	7586	0.06180203706026077	-0.33358556	No	
row_8	PIK3CD	7914	0.04285067319869995	-0.3516932	No	
row_9	PTPN6	9091	-0.023837033659219742	-0.4198054	No	
row_10	SOS1	10078	-0.08056177943944931	-0.47552222	No	
row_11	PIK3R1	11574	-0.19238752126693726	-0.5583888	No	
row_12	VAV1	11849	-0.2165418118238449	-0.5694141	No	
row_13	IGLC1	12696	-0.29257825016975403	-0.6120891	No	
row_14	IGLC3	12778	-0.301393985748291	-0.609898	No	
row_15	AHCYL1	12779	-0.3016584515571594	-0.6029717	No	
row_16	IGLC2	12847	-0.30872073769569397	-0.599795	No	
row_17	IGKC	12864	-0.3099561035633087	-0.5936123	No	
row_18	IGLV1-40	13489	-0.3747820258140564	-0.6214386	Yes	
row_19	IGLV2-11	13623	-0.38917067646980286	-0.6202681	Yes	
row_20	IGHD	13648	-0.3918214440345764	-0.6126728	Yes	
row_21	IGHM	13660	-0.3934091627597809	-0.6042821	Yes	
row_22	NCK1	13669	-0.39392220973968506	-0.59570444	Yes	
row_23	IGHV4-59	13940	-0.4244635999202728	-0.6017221	Yes	
row_24	IGLV6-57	14049	-0.43862399458885193	-0.5979565	Yes	
row_25	IGLV7-43	14343	-0.48056918382644653	-0.60402876	Yes	
row_26	IGLV1-51	14388	-0.48692190647125244	-0.5954176	Yes	
row_27	IGKV4-1	14595	-0.518789529800415	-0.59553295	Yes	
row_28	LYN	14621	-0.5244251489639282	-0.5849514	Yes	
row_29	IGLV1-47	14680	-0.5334439277648926	-0.57608944	Yes	
row_30	IGLV2-14	14716	-0.539795458316803	-0.5657388	Yes	
row_31	IGKV1-5	14893	-0.5681278109550476	-0.56296974	Yes	
row_32	ORAI1	14958	-0.5837497115135193	-0.553303	Yes	
row_33	CD79A	15099	-0.6080871820449829	-0.5475147	Yes	
row_34	IGLV2-23	15178	-0.6226749420166016	-0.5377716	Yes	
row_35	IGKV3-11	15192	-0.6247877478599548	-0.524185	Yes	
row_36	IGLV1-44	15200	-0.6256463527679443	-0.51022846	Yes	
row_37	ITPR1	15239	-0.6362995505332947	-0.49783716	Yes	
row_38	IGKV3-15	15257	-0.6399626135826111	-0.48413572	Yes	
row_39	IGHV1-46	15273	-0.6436104774475098	-0.47023374	Yes	
row_40	IGHV1-69	15283	-0.6448103189468384	-0.4559539	Yes	
row_41	IGHV3-23	15336	-0.653030276298523	-0.44399583	Yes	
row_42	SH3KBP1	15428	-0.6692889928817749	-0.43394145	Yes	
row_43	IGKV3-20	15583	-0.7050589919090271	-0.42674395	Yes	
row_44	IGKV2-30	15681	-0.7266039848327637	-0.41572386	Yes	
row_45	IGLV3-1	15782	-0.7560011744499207	-0.40420395	Yes	
row_46	IGHV4-39	15804	-0.7606301307678223	-0.3879654	Yes	
row_47	IGKV1-16	15946	-0.7918122410774231	-0.378017	Yes	
row_48	IGKV1-12	16061	-0.8241094350814819	-0.36575067	Yes	
row_49	IGKV1D-33	16080	-0.8295106887817383	-0.34775543	Yes	
row_50	IGHV3-11	16101	-0.8356919288635254	-0.32973507	Yes	
row_51	IGKV1-39	16108	-0.837536096572876	-0.31085497	Yes	
row_52	IGKV1D-39	16112	-0.8389352560043335	-0.2917676	Yes	
row_53	IGHV3-7	16154	-0.8491643667221069	-0.27466393	Yes	
row_54	IGLV3-19	16176	-0.8560526371002197	-0.25623444	Yes	
row_55	IGLV2-8	16195	-0.8613712787628174	-0.23750769	Yes	
row_56	IGHV3-33	16255	-0.8869988322257996	-0.22058624	Yes	
row_57	IGKV2-28	16279	-0.8984760046005249	-0.20129944	Yes	
row_58	ORAI2	16335	-0.9192310571670532	-0.18340439	Yes	
row_59	IGKV2D-28	16435	-0.9594245553016663	-0.16715536	Yes	
row_60	IGHV1-2	16463	-0.9717076420783997	-0.14642066	Yes	
row_61	PIK3AP1	16510	-0.993191659450531	-0.12630196	Yes	
row_62	CD79B	16576	-1.0250295400619507	-0.106561534	Yes	
row_63	TRPC1	16821	-1.2057582139968872	-0.09312218	Yes	
row_64	BTK	16869	-1.2504221200942993	-0.06715568	Yes	
row_65	PLCG2	17066	-1.6110013723373413	-0.041609235	Yes	
row_66	CD22	17162	-2.1351375579833984	0.0018685069	Yes	
