NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD36	887	0.9707401394844055	-0.02769838	No	
row_1	AMBP	2758	0.5165174603462219	-0.12408318	No	
row_2	LRP1	2794	0.5106414556503296	-0.11344809	No	
row_3	HSP90AA1	5604	0.20456436276435852	-0.27241716	No	
row_4	HSPH1	6555	0.12998537719249725	-0.32467058	No	
row_5	CALR	7173	0.08701121807098389	-0.35854352	No	
row_6	HYOU1	8779	-0.005646166857331991	-0.45213687	No	
row_7	HSP90B1	8790	-0.006176960188895464	-0.45256752	No	
row_8	SCGB3A2	9631	-0.054118428379297256	-0.5002806	No	
row_9	COL1A2	10599	-0.11806898564100266	-0.5538227	No	
row_10	COL3A1	10696	-0.12514102458953857	-0.556322	No	
row_11	SAA1	11333	-0.17266762256622314	-0.58917767	No	
row_12	COL4A1	11788	-0.21065737307071686	-0.6104612	No	
row_13	IGHA1	11802	-0.2121950089931488	-0.6059516	No	
row_14	HBB	12461	-0.27105912566185	-0.6376491	Yes	
row_15	IGHA2	12529	-0.27621567249298096	-0.6347036	Yes	
row_16	IGLC1	12696	-0.29257825016975403	-0.6371335	Yes	
row_17	IGLC3	12778	-0.301393985748291	-0.6343804	Yes	
row_18	IGLC2	12847	-0.30872073769569397	-0.6306862	Yes	
row_19	IGKC	12864	-0.3099561035633087	-0.6239245	Yes	
row_20	COL1A1	12950	-0.31903091073036194	-0.6209671	Yes	
row_21	HP	13148	-0.33852291107177734	-0.62406665	Yes	
row_22	CD163	13349	-0.36093538999557495	-0.62678486	Yes	
row_23	IGLV1-40	13489	-0.3747820258140564	-0.6255968	Yes	
row_24	STAB1	13571	-0.3833153247833252	-0.6208097	Yes	
row_25	IGLV2-11	13623	-0.38917067646980286	-0.6141251	Yes	
row_26	IGHV4-59	13940	-0.4244635999202728	-0.62204045	Yes	
row_27	IGLV6-57	14049	-0.43862399458885193	-0.6174568	Yes	
row_28	SSC5D	14060	-0.4399804174900055	-0.6071162	Yes	
row_29	IGLV7-43	14343	-0.48056918382644653	-0.61165285	Yes	
row_30	COL4A2	14363	-0.4832659065723419	-0.6007631	Yes	
row_31	IGLV1-51	14388	-0.48692190647125244	-0.5900745	Yes	
row_32	APOL1	14541	-0.5101357698440552	-0.5862849	Yes	
row_33	IGKV4-1	14595	-0.518789529800415	-0.5764987	Yes	
row_34	HBA2	14610	-0.5222861766815186	-0.56434804	Yes	
row_35	COLEC11	14650	-0.5291569232940674	-0.5534868	Yes	
row_36	IGLV1-47	14680	-0.5334439277648926	-0.54193515	Yes	
row_37	IGLV2-14	14716	-0.539795458316803	-0.53057617	Yes	
row_38	IGKV1-5	14893	-0.5681278109550476	-0.52674824	Yes	
row_39	IGLV2-23	15178	-0.6226749420166016	-0.5278732	Yes	
row_40	IGKV3-11	15192	-0.6247877478599548	-0.51311904	Yes	
row_41	IGLV1-44	15200	-0.6256463527679443	-0.4979932	Yes	
row_42	IGKV3-15	15257	-0.6399626135826111	-0.4853735	Yes	
row_43	SCARA5	15265	-0.6419673562049866	-0.4698424	Yes	
row_44	IGHV1-46	15273	-0.6436104774475098	-0.45427048	Yes	
row_45	IGHV1-69	15283	-0.6448103189468384	-0.43878558	Yes	
row_46	IGHV3-23	15336	-0.653030276298523	-0.4256078	Yes	
row_47	FTL	15412	-0.6667288541793823	-0.41343313	Yes	
row_48	FTH1	15455	-0.6758226752281189	-0.39910543	Yes	
row_49	IGKV3-20	15583	-0.7050589919090271	-0.38901588	Yes	
row_50	IGKV2-30	15681	-0.7266039848327637	-0.37663934	Yes	
row_51	MSR1	15683	-0.7268478870391846	-0.35865027	Yes	
row_52	MARCO	15770	-0.7526304125785828	-0.34498507	Yes	
row_53	IGLV3-1	15782	-0.7560011744499207	-0.32685614	Yes	
row_54	IGHV4-39	15804	-0.7606301307678223	-0.30919623	Yes	
row_55	IGKV1-16	15946	-0.7918122410774231	-0.29777023	Yes	
row_56	IGKV1-12	16061	-0.8241094350814819	-0.28396547	Yes	
row_57	IGKV1D-33	16080	-0.8295106887817383	-0.26442012	Yes	
row_58	IGHV3-11	16101	-0.8356919288635254	-0.24483806	Yes	
row_59	IGKV1-39	16108	-0.837536096572876	-0.22439261	Yes	
row_60	IGKV1D-39	16112	-0.8389352560043335	-0.20373721	Yes	
row_61	IGHV3-7	16154	-0.8491643667221069	-0.18504708	Yes	
row_62	IGLV3-19	16176	-0.8560526371002197	-0.16501787	Yes	
row_63	IGLV2-8	16195	-0.8613712787628174	-0.14468141	Yes	
row_64	SPARC	16229	-0.874869167804718	-0.12488582	Yes	
row_65	IGHV3-33	16255	-0.8869988322257996	-0.10432184	Yes	
row_66	IGKV2-28	16279	-0.8984760046005249	-0.083356075	Yes	
row_67	IGKV2D-28	16435	-0.9594245553016663	-0.06858591	Yes	
row_68	IGHV1-2	16463	-0.9717076420783997	-0.046035424	Yes	
row_69	COLEC12	16591	-1.0317120552062988	-0.02783514	Yes	
row_70	SCARF1	16866	-1.2473952770233154	-0.0128644295	Yes	
row_71	APOE	16906	-1.287233829498291	0.016819693	Yes	
