NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN6	9091	-0.023837033659219742	-0.5292852	No	
row_1	IGLC1	12696	-0.29257825016975403	-0.72958404	No	
row_2	IGLC3	12778	-0.301393985748291	-0.7241635	No	
row_3	IGLC2	12847	-0.30872073769569397	-0.71773833	No	
row_4	IGKC	12864	-0.3099561035633087	-0.7082395	No	
row_5	IGLV1-40	13489	-0.3747820258140564	-0.7320108	Yes	
row_6	IGLV2-11	13623	-0.38917067646980286	-0.72666806	Yes	
row_7	IGHD	13648	-0.3918214440345764	-0.7148805	Yes	
row_8	IGHM	13660	-0.3934091627597809	-0.7022815	Yes	
row_9	IGHV4-59	13940	-0.4244635999202728	-0.7042641	Yes	
row_10	IGLV6-57	14049	-0.43862399458885193	-0.6957993	Yes	
row_11	IGLV7-43	14343	-0.48056918382644653	-0.69671	Yes	
row_12	IGLV1-51	14388	-0.48692190647125244	-0.6828879	Yes	
row_13	IGKV4-1	14595	-0.518789529800415	-0.67743933	Yes	
row_14	LYN	14621	-0.5244251489639282	-0.6612472	Yes	
row_15	IGLV1-47	14680	-0.5334439277648926	-0.6466757	Yes	
row_16	IGLV2-14	14716	-0.539795458316803	-0.6305494	Yes	
row_17	IGKV1-5	14893	-0.5681278109550476	-0.62169105	Yes	
row_18	CD79A	15099	-0.6080871820449829	-0.61317885	Yes	
row_19	IGLV2-23	15178	-0.6226749420166016	-0.5967704	Yes	
row_20	IGKV3-11	15192	-0.6247877478599548	-0.5765008	Yes	
row_21	IGLV1-44	15200	-0.6256463527679443	-0.5558524	Yes	
row_22	IGKV3-15	15257	-0.6399626135826111	-0.53757936	Yes	
row_23	IGHV1-46	15273	-0.6436104774475098	-0.5167929	Yes	
row_24	IGHV1-69	15283	-0.6448103189468384	-0.49561617	Yes	
row_25	IGHV3-23	15336	-0.653030276298523	-0.47667006	Yes	
row_26	IGKV3-20	15583	-0.7050589919090271	-0.46728486	Yes	
row_27	IGKV2-30	15681	-0.7266039848327637	-0.4484865	Yes	
row_28	IGLV3-1	15782	-0.7560011744499207	-0.42887372	Yes	
row_29	IGHV4-39	15804	-0.7606301307678223	-0.4044987	Yes	
row_30	IGKV1-16	15946	-0.7918122410774231	-0.38607132	Yes	
row_31	IGKV1-12	16061	-0.8241094350814819	-0.3649826	Yes	
row_32	IGKV1D-33	16080	-0.8295106887817383	-0.33811447	Yes	
row_33	IGHV3-11	16101	-0.8356919288635254	-0.31115487	Yes	
row_34	IGKV1-39	16108	-0.837536096572876	-0.2833169	Yes	
row_35	IGKV1D-39	16112	-0.8389352560043335	-0.25525692	Yes	
row_36	IGHV3-7	16154	-0.8491643667221069	-0.22906843	Yes	
row_37	IGLV3-19	16176	-0.8560526371002197	-0.20148191	Yes	
row_38	IGLV2-8	16195	-0.8613712787628174	-0.17354146	Yes	
row_39	IGHV3-33	16255	-0.8869988322257996	-0.14712918	Yes	
row_40	IGKV2-28	16279	-0.8984760046005249	-0.11823149	Yes	
row_41	IGKV2D-28	16435	-0.9594245553016663	-0.09497934	Yes	
row_42	IGHV1-2	16463	-0.9717076420783997	-0.063850224	Yes	
row_43	CD79B	16576	-1.0250295400619507	-0.035882805	Yes	
row_44	CD22	17162	-2.1351375579833984	0.0018658519	Yes	
