NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGHG4	12453	-0.27027976512908936	-0.71675754	No	
row_1	IGLC1	12696	-0.29257825016975403	-0.7206408	Yes	
row_2	IGLC3	12778	-0.301393985748291	-0.71482694	Yes	
row_3	IGLC2	12847	-0.30872073769569397	-0.7079988	Yes	
row_4	IGKC	12864	-0.3099561035633087	-0.6980951	Yes	
row_5	IGHG1	13000	-0.3232658803462982	-0.6946656	Yes	
row_6	IGHG3	13277	-0.35357874631881714	-0.6983989	Yes	
row_7	IGHG2	13353	-0.36126241087913513	-0.690142	Yes	
row_8	IGLV1-40	13489	-0.3747820258140564	-0.6849114	Yes	
row_9	IGLV2-11	13623	-0.38917067646980286	-0.6790611	Yes	
row_10	C1R	13925	-0.42286619544029236	-0.6818298	Yes	
row_11	IGHV4-59	13940	-0.4244635999202728	-0.66780597	Yes	
row_12	IGLV6-57	14049	-0.43862399458885193	-0.6587688	Yes	
row_13	C1QA	14207	-0.4610452950000763	-0.65180516	Yes	
row_14	IGLV7-43	14343	-0.48056918382644653	-0.642876	Yes	
row_15	IGLV1-51	14388	-0.48692190647125244	-0.62841797	Yes	
row_16	C1QC	14504	-0.5047339797019958	-0.61747766	Yes	
row_17	IGKV4-1	14595	-0.518789529800415	-0.60458803	Yes	
row_18	IGLV1-47	14680	-0.5334439277648926	-0.5908361	Yes	
row_19	IGLV2-14	14716	-0.539795458316803	-0.57400465	Yes	
row_20	IGKV1-5	14893	-0.5681278109550476	-0.5644052	Yes	
row_21	C1QB	15023	-0.595173180103302	-0.5511193	Yes	
row_22	IGLV2-23	15178	-0.6226749420166016	-0.53832984	Yes	
row_23	IGKV3-11	15192	-0.6247877478599548	-0.5172439	Yes	
row_24	IGLV1-44	15200	-0.6256463527679443	-0.49577808	Yes	
row_25	IGKV3-15	15257	-0.6399626135826111	-0.4766692	Yes	
row_26	IGHV1-46	15273	-0.6436104774475098	-0.45504186	Yes	
row_27	IGHV1-69	15283	-0.6448103189468384	-0.43302265	Yes	
row_28	IGHV3-23	15336	-0.653030276298523	-0.41322362	Yes	
row_29	C1S	15563	-0.6990857124328613	-0.40196136	Yes	
row_30	IGKV3-20	15583	-0.7050589919090271	-0.37841886	Yes	
row_31	IGKV2-30	15681	-0.7266039848327637	-0.35867175	Yes	
row_32	IGLV3-1	15782	-0.7560011744499207	-0.3380718	Yes	
row_33	IGHV4-39	15804	-0.7606301307678223	-0.31270307	Yes	
row_34	IGKV1-16	15946	-0.7918122410774231	-0.293242	Yes	
row_35	IGKV1-12	16061	-0.8241094350814819	-0.27107728	Yes	
row_36	IGKV1D-33	16080	-0.8295106887817383	-0.24312535	Yes	
row_37	IGHV3-11	16101	-0.8356919288635254	-0.21507396	Yes	
row_38	IGKV1-39	16108	-0.837536096572876	-0.18614165	Yes	
row_39	IGKV1D-39	16112	-0.8389352560043335	-0.1569855	Yes	
row_40	IGHV3-7	16154	-0.8491643667221069	-0.12968771	Yes	
row_41	IGLV3-19	16176	-0.8560526371002197	-0.10098278	Yes	
row_42	IGLV2-8	16195	-0.8613712787628174	-0.07191694	Yes	
row_43	IGHV3-33	16255	-0.8869988322257996	-0.044346057	Yes	
row_44	IGKV2-28	16279	-0.8984760046005249	-0.014274534	Yes	
row_45	IGKV2D-28	16435	-0.9594245553016663	0.0102301985	Yes	
row_46	IGHV1-2	16463	-0.9717076420783997	0.042628806	Yes	
