NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFH	963	0.9360848069190979	-0.03474051	No	
row_1	CD59	4311	0.3251287639141083	-0.222772	No	
row_2	C5	5626	0.20239469408988953	-0.29487368	No	
row_3	CD81	6122	0.16014797985553741	-0.32010734	No	
row_4	CPB2	6729	0.11785591393709183	-0.3527964	No	
row_5	C2	9924	-0.07147271931171417	-0.53771955	No	
row_6	C4BPA	11417	-0.17803917825222015	-0.6207781	No	
row_7	GZMM	12221	-0.24888086318969727	-0.66196346	No	
row_8	C3	12384	-0.26349401473999023	-0.6653715	Yes	
row_9	C5AR2	12436	-0.26892879605293274	-0.66217095	Yes	
row_10	IGHG4	12453	-0.27027976512908936	-0.656895	Yes	
row_11	PROS1	12469	-0.271490216255188	-0.6515328	Yes	
row_12	IGLC1	12696	-0.29257825016975403	-0.65801084	Yes	
row_13	SERPING1	12773	-0.30113571882247925	-0.6555306	Yes	
row_14	IGLC3	12778	-0.301393985748291	-0.64883876	Yes	
row_15	IGLC2	12847	-0.30872073769569397	-0.64571685	Yes	
row_16	IGKC	12864	-0.3099561035633087	-0.6395292	Yes	
row_17	IGHG1	13000	-0.3232658803462982	-0.6399867	Yes	
row_18	IGHG3	13277	-0.35357874631881714	-0.6479836	Yes	
row_19	IGHG2	13353	-0.36126241087913513	-0.6440633	Yes	
row_20	IGLV1-40	13489	-0.3747820258140564	-0.643337	Yes	
row_21	IGLV2-11	13623	-0.38917067646980286	-0.6421633	Yes	
row_22	C4BPB	13651	-0.3921249806880951	-0.6347301	Yes	
row_23	C1R	13925	-0.42286619544029236	-0.6409597	Yes	
row_24	IGHV4-59	13940	-0.4244635999202728	-0.63202405	Yes	
row_25	IGLV6-57	14049	-0.43862399458885193	-0.6282537	Yes	
row_26	C3AR1	14174	-0.45646214485168457	-0.62500805	Yes	
row_27	C1QA	14207	-0.4610452950000763	-0.61628324	Yes	
row_28	IGLV7-43	14343	-0.48056918382644653	-0.61312616	Yes	
row_29	IGLV1-51	14388	-0.48692190647125244	-0.6045077	Yes	
row_30	C1QC	14504	-0.5047339797019958	-0.59962714	Yes	
row_31	IGKV4-1	14595	-0.518789529800415	-0.59296334	Yes	
row_32	CR1	14605	-0.5211798548698425	-0.5815133	Yes	
row_33	FCN1	14642	-0.5278010964393616	-0.5714882	Yes	
row_34	COLEC11	14650	-0.5291569232940674	-0.55973804	Yes	
row_35	IGLV1-47	14680	-0.5334439277648926	-0.54917437	Yes	
row_36	IGLV2-14	14716	-0.539795458316803	-0.5388153	Yes	
row_37	CFB	14769	-0.5466523170471191	-0.5292916	Yes	
row_38	C4A	14836	-0.5578517913818359	-0.52032834	Yes	
row_39	IGKV1-5	14893	-0.5681278109550476	-0.51054484	Yes	
row_40	CD46	14909	-0.5714734792709351	-0.49828964	Yes	
row_41	C1QB	15023	-0.595173180103302	-0.49121413	Yes	
row_42	IGLV2-23	15178	-0.6226749420166016	-0.48590153	Yes	
row_43	IGKV3-11	15192	-0.6247877478599548	-0.47230443	Yes	
row_44	IGLV1-44	15200	-0.6256463527679443	-0.4583371	Yes	
row_45	IGKV3-15	15257	-0.6399626135826111	-0.446903	Yes	
row_46	IGHV1-46	15273	-0.6436104774475098	-0.43299016	Yes	
row_47	IGHV1-69	15283	-0.6448103189468384	-0.41869932	Yes	
row_48	IGHV3-23	15336	-0.653030276298523	-0.40673128	Yes	
row_49	CFD	15345	-0.6545356512069702	-0.39215857	Yes	
row_50	C1S	15563	-0.6990857124328613	-0.3887701	Yes	
row_51	IGKV3-20	15583	-0.7050589919090271	-0.37367898	Yes	
row_52	FCN3	15647	-0.7200453281402588	-0.3608136	Yes	
row_53	IGKV2-30	15681	-0.7266039848327637	-0.34604514	Yes	
row_54	IGLV3-1	15782	-0.7560011744499207	-0.33451477	Yes	
row_55	IGHV4-39	15804	-0.7606301307678223	-0.31826353	Yes	
row_56	C7	15883	-0.7769914865493774	-0.30496576	Yes	
row_57	CFI	15907	-0.7821598649024963	-0.28833663	Yes	
row_58	IGKV1-16	15946	-0.7918122410774231	-0.2723619	Yes	
row_59	IGKV1-12	16061	-0.8241094350814819	-0.26008427	Yes	
row_60	IGKV1D-33	16080	-0.8295106887817383	-0.24207506	Yes	
row_61	IGHV3-11	16101	-0.8356919288635254	-0.22404063	Yes	
row_62	IGKV1-39	16108	-0.837536096572876	-0.20514607	Yes	
row_63	IGKV1D-39	16112	-0.8389352560043335	-0.18604413	Yes	
row_64	IGHV3-7	16154	-0.8491643667221069	-0.16892678	Yes	
row_65	IGLV3-19	16176	-0.8560526371002197	-0.15048291	Yes	
row_66	CLU	16187	-0.8598899245262146	-0.13130835	Yes	
row_67	IGLV2-8	16195	-0.8613712787628174	-0.11192451	Yes	
row_68	IGHV3-33	16255	-0.8869988322257996	-0.09498918	Yes	
row_69	IGKV2-28	16279	-0.8984760046005249	-0.07568733	Yes	
row_70	IGKV2D-28	16435	-0.9594245553016663	-0.06269527	Yes	
row_71	IGHV1-2	16463	-0.9717076420783997	-0.041944336	Yes	
row_72	CR2	16483	-0.9790776371955872	-0.020556761	Yes	
row_73	CD55	16680	-1.0933269262313843	-0.0068827365	Yes	
row_74	C5AR1	17063	-1.6036007404327393	0.007651949	Yes	
