NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TP63	73	1.8166117668151855	0.108372755	Yes	
row_1	FA2H	137	1.652738332748413	0.20716819	Yes	
row_2	TMEM79	225	1.4975943565368652	0.2949482	Yes	
row_3	FLG	233	1.4767369031906128	0.38609225	Yes	
row_4	ALOXE3	318	1.3551675081253052	0.46521702	Yes	
row_5	KRT16	328	1.3370091915130615	0.5475821	Yes	
row_6	SFN	874	0.9757299423217773	0.5763467	Yes	
row_7	HRNR	907	0.9600125551223755	0.6340006	Yes	
row_8	CLDN1	955	0.9401333928108215	0.6895489	Yes	
row_9	IL18	988	0.9247769713401794	0.7450184	Yes	
row_10	ABCA12	1067	0.8965908885002136	0.79606265	Yes	
row_11	CLDN4	1203	0.8417640924453735	0.8403896	Yes	
row_12	LSR	3479	0.4184768497943878	0.7338966	No	
row_13	ALOX12	3663	0.3947702944278717	0.74771756	No	
row_14	UGCG	6288	0.14852939546108246	0.6041722	No	
row_15	STMN1	11360	-0.1741034984588623	0.31976277	No	
row_16	MET	12952	-0.31936854124069214	0.24694382	No	
