NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCR	1658	0.7241265177726746	-0.07567705	No	
row_1	BLNK	2554	0.5472709536552429	-0.111988164	No	
row_2	SYK	2894	0.4971923232078552	-0.11732571	No	
row_3	SLAMF7	4468	0.307890921831131	-0.20012894	No	
row_4	MAF	4510	0.30299001932144165	-0.19372416	No	
row_5	TNFSF13	5353	0.22497573494911194	-0.23630062	No	
row_6	ICOSLG	5560	0.208291158080101	-0.24226825	No	
row_7	PRDM1	6243	0.1509498953819275	-0.2776621	No	
row_8	CD82	6534	0.13182830810546875	-0.29074863	No	
row_9	BCL6	6687	0.12027765065431595	-0.29612193	No	
row_10	XBP1	8027	0.03675312548875809	-0.37314895	No	
row_11	BACH2	9311	-0.035152554512023926	-0.4469564	No	
row_12	MFGE8	9526	-0.0477127730846405	-0.4580523	No	
row_13	FOXO1	10014	-0.07674666494131088	-0.48422742	No	
row_14	TMSB10	11267	-0.16602593660354614	-0.55242753	No	
row_15	CXCR4	12756	-0.29913511872291565	-0.6305275	No	
row_16	PTPRC	14485	-0.5014212131500244	-0.71675247	Yes	
row_17	CR1	14605	-0.5211798548698425	-0.7085626	Yes	
row_18	C4A	14836	-0.5578517913818359	-0.705782	Yes	
row_19	CD40	14957	-0.583658754825592	-0.6958367	Yes	
row_20	IFNAR2	15061	-0.6003252267837524	-0.6844161	Yes	
row_21	CD79A	15099	-0.6080871820449829	-0.6689209	Yes	
row_22	BTLA	15296	-0.6470796465873718	-0.6615669	Yes	
row_23	IFIT2	15312	-0.6497753262519836	-0.64357835	Yes	
row_24	FCRL5	15364	-0.656925618648529	-0.6274818	Yes	
row_25	CD80	15406	-0.6656782627105713	-0.61054796	Yes	
row_26	SELL	15491	-0.6830692887306213	-0.59561706	Yes	
row_27	IFITM1	15773	-0.7538504004478455	-0.590121	Yes	
row_28	SH2D1A	15981	-0.8028587698936462	-0.5788862	Yes	
row_29	CD1D	16004	-0.8080062866210938	-0.5567123	Yes	
row_30	CCL21	16024	-0.8149904608726501	-0.53416073	Yes	
row_31	CCR7	16037	-0.81941157579422	-0.5110725	Yes	
row_32	CD69	16298	-0.9068053364753723	-0.49991125	Yes	
row_33	PDCD1	16315	-0.9121128916740417	-0.47436514	Yes	
row_34	IRF8	16378	-0.9344437718391418	-0.45085362	Yes	
row_35	ICOS	16436	-0.9596894383430481	-0.42631754	Yes	
row_36	CCL19	16457	-0.9691075682640076	-0.39935017	Yes	
row_37	PAX5	16458	-0.9692112803459167	-0.3712133	Yes	
row_38	GPR183	16474	-0.9749802350997925	-0.3437838	Yes	
row_39	CR2	16483	-0.9790776371955872	-0.31582707	Yes	
row_40	CXCL13	16552	-1.014129400253296	-0.29035217	Yes	
row_41	TLR7	16622	-1.049804449081421	-0.2638999	Yes	
row_42	IRF4	16623	-1.050062656402588	-0.23341584	Yes	
row_43	ITGAX	16767	-1.1619892120361328	-0.20802264	Yes	
row_44	EBI3	16849	-1.2306081056594849	-0.17702138	Yes	
row_45	TBX21	16995	-1.428453803062439	-0.14400919	Yes	
row_46	CXCL12	17061	-1.595271110534668	-0.101488344	Yes	
row_47	ZEB2	17072	-1.6239382028579712	-0.05492754	Yes	
row_48	CD22	17162	-2.1351375579833984	0.0018662427	Yes	
