NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLCA2	1	2.836764097213745	0.031719234	Yes	
row_1	JAG2	64	1.8647477626800537	0.04896679	Yes	
row_2	TP63	73	1.8166117668151855	0.068846926	Yes	
row_3	EPHA2	110	1.6947561502456665	0.085717365	Yes	
row_4	HBEGF	173	1.5773530006408691	0.099745475	Yes	
row_5	TGFA	203	1.522400140762329	0.115096316	Yes	
row_6	SDC1	208	1.519338846206665	0.13188128	Yes	
row_7	PERP	245	1.4569183588027954	0.14608742	Yes	
row_8	CDKN1A	273	1.4071049690246582	0.16026418	Yes	
row_9	CDKN2AIP	369	1.2851585149765015	0.16908073	Yes	
row_10	TRAFD1	371	1.282857060432434	0.18339281	Yes	
row_11	MDM2	377	1.2796590328216553	0.19743411	Yes	
row_12	GPX2	432	1.2328675985336304	0.20807312	Yes	
row_13	EPS8L2	445	1.2220731973648071	0.22105817	Yes	
row_14	HRAS	520	1.158835768699646	0.22969311	Yes	
row_15	HEXIM1	559	1.137404441833496	0.24020253	Yes	
row_16	DDB2	590	1.1208467483520508	0.25099635	Yes	
row_17	GADD45A	726	1.039025902748108	0.2547062	Yes	
row_18	BAIAP2	765	1.0225597620010376	0.2639291	Yes	
row_19	SERPINB5	837	0.9888807535171509	0.27083638	Yes	
row_20	SFN	874	0.9757299423217773	0.27965218	Yes	
row_21	ZMAT3	983	0.92573481798172	0.28367883	Yes	
row_22	TM7SF3	1056	0.9009674787521362	0.28954256	Yes	
row_23	TOB1	1063	0.8985520601272583	0.29925588	Yes	
row_24	PLXNB2	1085	0.8905577063560486	0.3079986	Yes	
row_25	TAX1BP3	1095	0.8860473036766052	0.31739563	Yes	
row_26	DGKA	1155	0.8625510931015015	0.3235926	Yes	
row_27	ABAT	1238	0.8300478458404541	0.3280745	Yes	
row_28	TRAF4	1267	0.8223931789398193	0.3356425	Yes	
row_29	NUDT15	1268	0.8220841288566589	0.3448516	Yes	
row_30	PPP1R15A	1300	0.8124743103981018	0.35213226	Yes	
row_31	TRIAP1	1312	0.8099892139434814	0.3605598	Yes	
row_32	IER5	1329	0.805988609790802	0.36864886	Yes	
row_33	NHLH2	1364	0.7932217121124268	0.3755376	Yes	
row_34	FDXR	1384	0.7874411344528198	0.38324267	Yes	
row_35	AEN	1403	0.781514048576355	0.39094007	Yes	
row_36	PCNA	1445	0.7717670798301697	0.3971773	Yes	
