NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RNF8	3741	0.38444557785987854	-0.2034895	No	
row_1	CD81	6122	0.16014797985553741	-0.33620086	No	
row_2	EXOSC6	6403	0.14007951319217682	-0.34714347	No	
row_3	MSH6	7128	0.09005331993103027	-0.3859221	No	
row_4	EXOSC3	8152	0.029376614838838577	-0.4444858	No	
row_5	HSPD1	8288	0.021338554099202156	-0.45154145	No	
row_6	LIG4	8653	3.4952990245074034E-4	-0.4727686	No	
row_7	CARD9	9045	-0.020717794075608253	-0.49478662	No	
row_8	CSF2RB	9467	-0.04494353383779526	-0.51762193	No	
row_9	PCYT1A	10463	-0.1075107604265213	-0.5715418	No	
row_10	MSH2	10487	-0.10908801853656769	-0.5686815	No	
row_11	CD74	10493	-0.1095699816942215	-0.5647523	No	
row_12	BATF	10950	-0.14275938272476196	-0.5858618	No	
row_13	IGHA1	11802	-0.2121950089931488	-0.62734604	No	
row_14	FCRLB	12268	-0.25390031933784485	-0.6446992	No	
row_15	IGHG4	12453	-0.27027976512908936	-0.6450242	Yes	
row_16	IGHA2	12529	-0.27621567249298096	-0.63876	Yes	
row_17	IGLL5	12627	-0.28625068068504333	-0.63339293	Yes	
row_18	IGLC1	12696	-0.29257825016975403	-0.6260899	Yes	
row_19	IGLC3	12778	-0.301393985748291	-0.61920583	Yes	
row_20	IGLC2	12847	-0.30872073769569397	-0.6112809	Yes	
row_21	IGKC	12864	-0.3099561035633087	-0.6002741	Yes	
row_22	ZP3	12949	-0.31890609860420227	-0.59289044	Yes	
row_23	IGHG1	13000	-0.3232658803462982	-0.5833549	Yes	
row_24	RNF168	13024	-0.3253920078277588	-0.57216185	Yes	
row_25	IGHG3	13277	-0.35357874631881714	-0.5732459	Yes	
row_26	FCGR2A	13331	-0.3590761125087738	-0.56250584	Yes	
row_27	IGHG2	13353	-0.36126241087913513	-0.5498142	Yes	
row_28	IGHV2-26	13411	-0.36747410893440247	-0.5389841	Yes	
row_29	IGHD	13648	-0.3918214440345764	-0.53766125	Yes	
row_30	C1R	13925	-0.42286619544029236	-0.5374766	Yes	
row_31	IGHV4-59	13940	-0.4244635999202728	-0.5219418	Yes	
row_32	C1QA	14207	-0.4610452950000763	-0.51970285	Yes	
row_33	C1QC	14504	-0.5047339797019958	-0.5175314	Yes	
row_34	FCGR3A	14778	-0.5478093028068542	-0.5123585	Yes	
row_35	IGHV5-51	14859	-0.5625253915786743	-0.49535644	Yes	
row_36	FCGR1A	14936	-0.57902991771698	-0.47748518	Yes	
row_37	IGHV1-24	14966	-0.5851873159408569	-0.45663413	Yes	
row_38	C1QB	15023	-0.595173180103302	-0.4369739	Yes	
row_39	IGHV1-18	15065	-0.6010763049125671	-0.41621098	Yes	
row_40	TLR8	15096	-0.6075946688652039	-0.3945551	Yes	
row_41	IGHV1-46	15273	-0.6436104774475098	-0.38003132	Yes	
row_42	IGHV1-69	15283	-0.6448103189468384	-0.35571632	Yes	
row_43	IGHV3-23	15336	-0.653030276298523	-0.33359385	Yes	
row_44	FCGR2B	15395	-0.6636222004890442	-0.31141347	Yes	
row_45	IL2RB	15624	-0.7133100628852844	-0.297239	Yes	
row_46	IGHV3-21	15703	-0.7328852415084839	-0.27355745	Yes	
row_47	FCGR2C	15737	-0.7434796690940857	-0.24684186	Yes	
row_48	IGHV3-49	15797	-0.7590711116790771	-0.22104283	Yes	
row_49	IGHV4-39	15804	-0.7606301307678223	-0.19209102	Yes	
row_50	CD27	15993	-0.8053374290466309	-0.17203724	Yes	
row_51	IGHV3-11	16101	-0.8356919288635254	-0.14608748	Yes	
row_52	IGHV3-7	16154	-0.8491643667221069	-0.1164093	Yes	
row_53	IGHV3-15	16179	-0.8571391105651855	-0.084790014	Yes	
row_54	FCER1G	16223	-0.872970461845398	-0.053669557	Yes	
row_55	IGHV3-33	16255	-0.8869988322257996	-0.021308448	Yes	
row_56	IGHV1-2	16463	-0.9717076420783997	0.004045743	Yes	
row_57	MAD2L2	16528	-1.0007524490356445	0.03886335	Yes	
