NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	303	1.3730661869049072	-0.0015869894	No	
row_1	HLA-G	1022	0.9140272736549377	-0.032896437	No	
row_2	ULBP1	2822	0.5074814558029175	-0.13233522	No	
row_3	CXADR	2981	0.48443493247032166	-0.13588925	No	
row_4	NPDC1	3276	0.44687193632125854	-0.14785464	No	
row_5	ICAM5	3507	0.4145810008049011	-0.15645012	No	
row_6	ULBP3	3662	0.3949829339981079	-0.16082306	No	
row_7	PILRB	3781	0.37948307394981384	-0.16326904	No	
row_8	CD99	4279	0.32822129130363464	-0.18852653	No	
row_9	SLAMF7	4468	0.307890921831131	-0.19591722	No	
row_10	CD81	6122	0.16014797985553741	-0.29089075	No	
row_11	RAET1E	6557	0.12979872524738312	-0.31479308	No	
row_12	KLRF1	7434	0.07049395143985748	-0.36529317	No	
row_13	NCR3LG1	8448	0.012243886478245258	-0.42450678	No	
row_14	HLA-H	9570	-0.04995718598365784	-0.4896047	No	
row_15	TREM2	10809	-0.13328881561756134	-0.56057715	No	
row_16	ITGB7	11052	-0.14903299510478973	-0.5730026	No	
row_17	CD300E	11295	-0.16923587024211884	-0.58519006	No	
row_18	MICA	11449	-0.18038755655288696	-0.59203124	No	
row_19	CD160	11948	-0.2245899736881256	-0.6185676	No	
row_20	CD300A	12105	-0.2379617840051651	-0.6249066	No	
row_21	PVR	12237	-0.25037097930908203	-0.6296346	No	
row_22	C3	12384	-0.26349401473999023	-0.635087	No	
row_23	LILRB3	12472	-0.27200445532798767	-0.6369821	No	
row_24	IGLC1	12696	-0.29257825016975403	-0.64660394	No	
row_25	IGLC3	12778	-0.301393985748291	-0.64780134	No	
row_26	IGLC2	12847	-0.30872073769569397	-0.64815074	No	
row_27	IGKC	12864	-0.3099561035633087	-0.6454386	No	
row_28	ITGB1	13221	-0.34677213430404663	-0.66221565	No	
row_29	CD1A	13313	-0.3570389151573181	-0.6633438	No	
row_30	IGLV1-40	13489	-0.3747820258140564	-0.6691851	No	
row_31	IGLV2-11	13623	-0.38917067646980286	-0.67239594	No	
row_32	CD300LF	13724	-0.39937227964401245	-0.67355305	No	
row_33	ITGB2	13757	-0.4038623869419098	-0.6706727	No	
row_34	IGHV4-59	13940	-0.4244635999202728	-0.6763392	No	
row_35	HLA-F	14039	-0.43760859966278076	-0.6769288	No	
row_36	IGLV6-57	14049	-0.43862399458885193	-0.67229146	No	
row_37	IGLV7-43	14343	-0.48056918382644653	-0.68380153	Yes	
row_38	IGLV1-51	14388	-0.48692190647125244	-0.6806463	Yes	
row_39	SIGLEC1	14399	-0.4887494146823883	-0.6754773	Yes	
row_40	HLA-E	14446	-0.4966680109500885	-0.6723246	Yes	
row_41	HLA-C	14457	-0.4975549578666687	-0.6670519	Yes	
row_42	KLRD1	14569	-0.5148941278457642	-0.6674933	Yes	
row_43	IGKV4-1	14595	-0.518789529800415	-0.66284955	Yes	
row_44	CD300C	14604	-0.5208631157875061	-0.65718526	Yes	
row_45	LILRA5	14672	-0.5327074527740479	-0.6548386	Yes	
row_46	IGLV1-47	14680	-0.5334439277648926	-0.6489676	Yes	
row_47	IGLV2-14	14716	-0.539795458316803	-0.64466244	Yes	
row_48	ICAM1	14768	-0.5465965270996094	-0.6412148	Yes	
row_49	FCGR3A	14778	-0.5478093028068542	-0.6352918	Yes	
row_50	IGKV1-5	14893	-0.5681278109550476	-0.63528216	Yes	
row_51	FCGR1A	14936	-0.57902991771698	-0.6309252	Yes	
row_52	LILRA6	14937	-0.5790760517120361	-0.6241067	Yes	
row_53	HCST	14981	-0.5871347188949585	-0.6197129	Yes	
row_54	TREM1	15056	-0.5993857383728027	-0.61699134	Yes	
row_55	LILRB2	15081	-0.6040101647377014	-0.61128557	Yes	
row_56	HLA-A	15127	-0.6125149726867676	-0.60671014	Yes	
row_57	CD96	15161	-0.6198055148124695	-0.60134566	Yes	
row_58	IGLV2-23	15178	-0.6226749420166016	-0.59495133	Yes	
row_59	IGKV3-11	15192	-0.6247877478599548	-0.5883563	Yes	
row_60	IGLV1-44	15200	-0.6256463527679443	-0.5813996	Yes	
row_61	MICB	15201	-0.6261159777641296	-0.5740272	Yes	
row_62	TYROBP	15234	-0.6354455947875977	-0.56842	Yes	
