NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C2	9924	-0.07147271931171417	-0.57684606	No	
row_1	GZMM	12221	-0.24888086318969727	-0.7032036	No	
row_2	C3	12384	-0.26349401473999023	-0.70460325	No	
row_3	IGHG4	12453	-0.27027976512908936	-0.700311	No	
row_4	IGLC1	12696	-0.29257825016975403	-0.7054895	Yes	
row_5	IGLC3	12778	-0.301393985748291	-0.7010049	Yes	
row_6	IGLC2	12847	-0.30872073769569397	-0.69553787	Yes	
row_7	IGKC	12864	-0.3099561035633087	-0.686999	Yes	
row_8	IGHG1	13000	-0.3232658803462982	-0.68499666	Yes	
row_9	IGHG3	13277	-0.35357874631881714	-0.6902948	Yes	
row_10	IGHG2	13353	-0.36126241087913513	-0.68363047	Yes	
row_11	IGLV1-40	13489	-0.3747820258140564	-0.6800538	Yes	
row_12	IGLV2-11	13623	-0.38917067646980286	-0.67592067	Yes	
row_13	C1R	13925	-0.42286619544029236	-0.68056	Yes	
row_14	IGHV4-59	13940	-0.4244635999202728	-0.66840506	Yes	
row_15	IGLV6-57	14049	-0.43862399458885193	-0.661302	Yes	
row_16	C1QA	14207	-0.4610452950000763	-0.65637267	Yes	
row_17	IGLV7-43	14343	-0.48056918382644653	-0.6495631	Yes	
row_18	IGLV1-51	14388	-0.48692190647125244	-0.6372498	Yes	
row_19	C1QC	14504	-0.5047339797019958	-0.6285348	Yes	
row_20	IGKV4-1	14595	-0.518789529800415	-0.6179316	Yes	
row_21	FCN1	14642	-0.5278010964393616	-0.60448575	Yes	
row_22	COLEC11	14650	-0.5291569232940674	-0.58872294	Yes	
row_23	IGLV1-47	14680	-0.5334439277648926	-0.5741127	Yes	
row_24	IGLV2-14	14716	-0.539795458316803	-0.5596585	Yes	
row_25	CFB	14769	-0.5466523170471191	-0.54598665	Yes	
row_26	C4A	14836	-0.5578517913818359	-0.53278935	Yes	
row_27	IGKV1-5	14893	-0.5681278109550476	-0.5186946	Yes	
row_28	C1QB	15023	-0.595173180103302	-0.50803256	Yes	
row_29	IGLV2-23	15178	-0.6226749420166016	-0.49798873	Yes	
row_30	IGKV3-11	15192	-0.6247877478599548	-0.4796535	Yes	
row_31	IGLV1-44	15200	-0.6256463527679443	-0.46094194	Yes	
row_32	IGKV3-15	15257	-0.6399626135826111	-0.44465187	Yes	
row_33	IGHV1-46	15273	-0.6436104774475098	-0.42585808	Yes	
row_34	IGHV1-69	15283	-0.6448103189468384	-0.40667757	Yes	
row_35	IGHV3-23	15336	-0.653030276298523	-0.38975474	Yes	
row_36	CFD	15345	-0.6545356512069702	-0.37021866	Yes	
row_37	C1S	15563	-0.6990857124328613	-0.36151555	Yes	
row_38	IGKV3-20	15583	-0.7050589919090271	-0.34107727	Yes	
row_39	FCN3	15647	-0.7200453281402588	-0.32274824	Yes	
row_40	IGKV2-30	15681	-0.7266039848327637	-0.3024684	Yes	
row_41	IGLV3-1	15782	-0.7560011744499207	-0.28519937	Yes	
row_42	IGHV4-39	15804	-0.7606301307678223	-0.2631795	Yes	
row_43	IGKV1-16	15946	-0.7918122410774231	-0.2472083	Yes	
row_44	IGKV1-12	16061	-0.8241094350814819	-0.22867472	Yes	
row_45	IGKV1D-33	16080	-0.8295106887817383	-0.2043748	Yes	
row_46	IGHV3-11	16101	-0.8356919288635254	-0.18000269	Yes	
row_47	IGKV1-39	16108	-0.837536096572876	-0.15475737	Yes	
row_48	IGKV1D-39	16112	-0.8389352560043335	-0.12929423	Yes	
row_49	IGHV3-7	16154	-0.8491643667221069	-0.105735675	Yes	
row_50	IGLV3-19	16176	-0.8560526371002197	-0.08079967	Yes	
row_51	IGLV2-8	16195	-0.8613712787628174	-0.05552609	Yes	
row_52	IGHV3-33	16255	-0.8869988322257996	-0.031861525	Yes	
row_53	IGKV2-28	16279	-0.8984760046005249	-0.005745742	Yes	
row_54	IGKV2D-28	16435	-0.9594245553016663	0.014530918	Yes	
row_55	IGHV1-2	16463	-0.9717076420783997	0.0426513	Yes	
