NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT6A	2	2.7877910137176514	0.08771	Yes	
row_1	KRT6B	39	2.025841236114502	0.14943407	Yes	
row_2	KRT14	40	2.0097270011901855	0.2127485	Yes	
row_3	KRT13	46	1.983188509941101	0.27493548	Yes	
row_4	PKP1	54	1.9355137348175049	0.33550394	Yes	
row_5	KRT4	63	1.8649063110351562	0.3937897	Yes	
row_6	KRT5	125	1.670061707496643	0.44284835	Yes	
row_7	KRT78	139	1.6477932929992676	0.49400282	Yes	
row_8	KRT15	289	1.386469841003418	0.5289987	Yes	
row_9	KRT16	328	1.3370091915130615	0.56890523	Yes	
row_10	KRT23	336	1.3251674175262451	0.61024535	Yes	
row_11	DSP	711	1.0470364093780518	0.62143505	Yes	
row_12	KRT10	802	1.0059760808944702	0.6478822	Yes	
row_13	KRT17	1019	0.9151328802108765	0.6641244	Yes	
row_14	DNAJB6	1698	0.7150330543518066	0.647138	Yes	
row_15	KRT80	1933	0.6642436981201172	0.65442723	Yes	
row_16	KRT75	2084	0.635769784450531	0.66571474	Yes	
row_17	TCHH	2304	0.5886560678482056	0.67149675	Yes	
row_18	KRT19	2384	0.5780779719352722	0.68510455	Yes	
row_19	EPPK1	2910	0.49522775411605835	0.67011	No	
row_20	INA	3108	0.46708500385284424	0.6733442	No	
row_21	KRT7	3698	0.38953834772109985	0.6512902	No	
row_22	PKP2	3962	0.3577960133552551	0.647235	No	
row_23	MTM1	5913	0.17647245526313782	0.53915155	No	
row_24	BFSP1	7425	0.07095534354448318	0.4533282	No	
row_25	AGFG1	7990	0.03872472420334816	0.4216791	No	
row_26	NEFH	9132	-0.0260161105543375	0.35600302	No	
row_27	AGFG2	10415	-0.10434780269861221	0.2845774	No	
row_28	KRT81	11279	-0.16761527955532074	0.23956364	No	
row_29	KLHL24	12526	-0.27604955434799194	0.17564535	No	
row_30	NEFL	12823	-0.306086927652359	0.16803789	No	
row_31	NEFM	12893	-0.31298497319221497	0.17387696	No	
row_32	GFAP	13959	-0.42614248394966125	0.1252356	No	
row_33	DES	14918	-0.575011134147644	0.08751998	No	
row_34	VIM	15232	-0.6346774101257324	0.0892737	No	
row_35	KRT86	15953	-0.7938803434371948	0.07232361	No	
