NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT6A	2	2.7877910137176514	0.04347642	Yes	
row_1	KLK12	19	2.229326009750366	0.077403136	Yes	
row_2	KLK5	29	2.141427755355835	0.110363826	Yes	
row_3	DSC3	33	2.0940017700195312	0.14293301	Yes	
row_4	KRT6B	39	2.025841236114502	0.17431965	Yes	
row_5	KRT14	40	2.0097270011901855	0.20574605	Yes	
row_6	SPRR1A	41	2.0078649520874023	0.23714335	Yes	
row_7	KRT13	46	1.983188509941101	0.2679214	Yes	
row_8	PKP1	54	1.9355137348175049	0.29777887	Yes	
row_9	KRT4	63	1.8649063110351562	0.3264739	Yes	
row_10	RPTN	101	1.7159101963043213	0.3511469	Yes	
row_11	KRT5	125	1.670061707496643	0.37591988	Yes	
row_12	SPRR2A	128	1.6657073497772217	0.40185007	Yes	
row_13	KRT78	139	1.6477932929992676	0.4270334	Yes	
row_14	IVL	171	1.579440951347351	0.4499225	Yes	
row_15	SPRR3	183	1.5569982528686523	0.4736277	Yes	
row_16	EVPL	193	1.5354450941085815	0.4971125	Yes	
row_17	SPINK5	198	1.5291519165039062	0.5207907	Yes	
row_18	FLG	233	1.4767369031906128	0.5418988	Yes	
row_19	PERP	245	1.4569183588027954	0.564039	Yes	
row_20	KRT15	289	1.386469841003418	0.5832104	Yes	
row_21	SPRR1B	313	1.3611721992492676	0.6031532	Yes	
row_22	JUP	316	1.3569836616516113	0.6242559	Yes	
row_23	KRT16	328	1.3370091915130615	0.64452106	Yes	
row_24	KRT23	336	1.3251674175262451	0.66483444	Yes	
row_25	CAPN1	384	1.271262288093567	0.6819709	Yes	
row_26	PKP3	672	1.0684014558792114	0.68193126	Yes	
row_27	CSTA	690	1.0599539279937744	0.697514	Yes	
row_28	DSP	711	1.0470364093780518	0.7127197	Yes	
row_29	KRT10	802	1.0059760808944702	0.7231988	Yes	
row_30	DSC2	854	0.9838123321533203	0.73560697	Yes	
row_31	SPRR2D	911	0.9571194648742676	0.747306	Yes	
row_32	PPL	927	0.950851321220398	0.7612994	Yes	
row_33	KRT17	1019	0.9151328802108765	0.7702996	Yes	
row_34	KAZN	1117	0.8778560161590576	0.7783668	Yes	
row_35	SPRR2E	1436	0.7740008234977722	0.7719147	Yes	
row_36	TGM1	1653	0.7250101566314697	0.77064824	Yes	
row_37	KRT8	1685	0.7184266448020935	0.7800736	Yes	
row_38	KRT80	1933	0.6642436981201172	0.776048	Yes	
row_39	KRT18	2053	0.6417562961578369	0.77913964	Yes	
row_40	KRT75	2084	0.635769784450531	0.78733075	Yes	
row_41	KLK8	2166	0.618232011795044	0.7922718	Yes	
row_42	ST14	2226	0.6032450795173645	0.79826224	Yes	
row_43	TCHH	2304	0.5886560678482056	0.80297416	Yes	
row_44	PKP4	2319	0.5865459442138672	0.8113292	Yes	
row_45	KRT19	2384	0.5780779719352722	0.8166343	Yes	
row_46	PRSS8	3615	0.4007534384727478	0.7511306	No	
row_47	PKP2	3962	0.3577960133552551	0.73653644	No	
row_48	PI3	4422	0.31358039379119873	0.71465737	No	
row_49	KRTAP5-1	4432	0.3125695288181305	0.71901995	No	
row_50	DSG2	5416	0.2193027287721634	0.6650913	No	
row_51	TGM5	5679	0.19690561294555664	0.65288264	No	
row_52	CAPNS1	7492	0.06675955653190613	0.5481966	No	
row_53	FURIN	8229	0.024788159877061844	0.5056388	No	
row_54	PCSK6	10971	-0.1443740278482437	0.34795937	No	
row_55	KRT81	11279	-0.16761527955532074	0.332667	No	
row_56	KRT86	15953	-0.7938803434371948	0.07241209	No	
