NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM1	91	1.7593356370925903	0.07034797	Yes	
row_1	CDKN1A	273	1.4071049690246582	0.12030095	Yes	
row_2	E2F2	299	1.3774268627166748	0.17807497	Yes	
row_3	MDM2	377	1.2796590328216553	0.22861238	Yes	
row_4	HRAS	520	1.158835768699646	0.27016363	Yes	
row_5	DDB2	590	1.1208467483520508	0.31433836	Yes	
row_6	PIK3R2	632	1.097188115119934	0.35912853	Yes	
row_7	GADD45A	726	1.039025902748108	0.3983852	Yes	
row_8	PTEN	912	0.9561776518821716	0.42871422	Yes	
row_9	CCND1	1489	0.7646809816360474	0.42800698	Yes	
row_10	BAD	1635	0.7294832468032837	0.45092034	Yes	
row_11	BAX	1642	0.7272829413414001	0.48184496	Yes	
row_12	KDR	1687	0.7182824611663818	0.5101665	Yes	
row_13	LAMTOR3	1835	0.6838803291320801	0.5310023	Yes	
row_14	MAPK3	1981	0.6531030535697937	0.5506311	Yes	
row_15	RAF1	2028	0.6456642746925354	0.57571334	Yes	
row_16	KRAS	2147	0.6218388080596924	0.5955723	Yes	
row_17	PIK3R3	2222	0.60395747423172	0.6172282	Yes	
row_18	CALML4	2787	0.5117995142936707	0.6063464	No	
row_19	PAK1	3961	0.35783055424690247	0.55332935	No	
row_20	MAPK1	5087	0.2493782788515091	0.49844775	No	
row_21	RAC1	5206	0.23832759261131287	0.501815	No	
row_22	CDK6	5442	0.21797743439674377	0.49748424	No	
row_23	KIT	5787	0.18785101175308228	0.48550153	No	
row_24	ERBB4	5804	0.18610915541648865	0.4925715	No	
row_25	GADD45G	6387	0.14094436168670654	0.46469256	No	
row_26	CREB1	6615	0.12614776194095612	0.45687947	No	
row_27	NF1	7248	0.08198647946119308	0.4235494	No	
row_28	MAP2K2	7420	0.07122482359409332	0.41664022	No	
row_29	PIK3CD	7914	0.04285067319869995	0.38973317	No	
row_30	FOS	8459	0.011508181691169739	0.3585042	No	
row_31	CDK4	9599	-0.051878705620765686	0.29431334	No	
row_32	SOS1	10078	-0.08056177943944931	0.26990268	No	
row_33	GADD45B	10101	-0.08219543099403381	0.2721543	No	
row_34	BRAF	10107	-0.0825728178024292	0.2754135	No	
row_35	SOS2	10158	-0.08687479794025421	0.2762335	No	
row_36	RB1	10192	-0.08905994147062302	0.27813882	No	
row_37	GRB2	10357	-0.09975159913301468	0.27286452	No	
row_38	ARAF	10410	-0.10408027470111847	0.27430773	No	
row_39	BAK1	10889	-0.1388414204120636	0.2524032	No	
row_40	PIK3R1	11574	-0.19238752126693726	0.2207882	No	
row_41	POLK	12394	-0.2646878659725189	0.1844096	No	
row_42	CDKN2A	12408	-0.265821635723114	0.19508232	No	
row_43	MAP2K1	12410	-0.26594704389572144	0.20646022	No	
row_44	E2F3	12995	-0.3225865364074707	0.18627559	No	
row_45	SHC2	14544	-0.5107181668281555	0.117964506	No	
row_46	AKT3	16152	-0.8491314649581909	0.060765192	No	
