NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT6A	2	2.7877910137176514	0.12638141	Yes	
row_1	LY6D	65	1.8646552562713623	0.20738044	Yes	
row_2	GPR87	135	1.6575158834457397	0.2785727	Yes	
row_3	SPRR3	183	1.5569982528686523	0.34648523	Yes	
row_4	VSIG2	185	1.5516581535339355	0.4168345	Yes	
row_5	SCEL	262	1.4197419881820679	0.47682995	Yes	
row_6	SPRR1B	313	1.3611721992492676	0.53568196	Yes	
row_7	S100A2	639	1.088547706604004	0.5661472	Yes	
row_8	DHRS9	780	1.0146064758300781	0.6040319	Yes	
row_9	VGLL1	1104	0.882208526134491	0.6252508	Yes	
row_10	TNS4	1257	0.8259749412536621	0.6538774	Yes	
row_11	CEACAM6	1405	0.7806363105773926	0.6807378	Yes	
row_12	FGFBP1	1669	0.7223846912384033	0.6981991	Yes	
row_13	ST6GALNAC1	1793	0.6947656869888306	0.7225609	Yes	
row_14	ANXA10	1932	0.6646494269371033	0.74468255	Yes	
row_15	AREG	2000	0.6499581336975098	0.7702727	Yes	
row_16	SERPINB3	2114	0.6296627521514893	0.7922628	Yes	
row_17	KRT7	3698	0.38953834772109985	0.7177427	No	
row_18	AGR2	4151	0.3398178815841675	0.7068371	No	
row_19	CST6	4273	0.3289141356945038	0.71471465	No	
row_20	AGR3	4563	0.29670044779777527	0.711346	No	
row_21	LGALS4	7232	0.08312689512968063	0.5597306	No	
row_22	FAM83A	7477	0.0675569474697113	0.5485852	No	
row_23	LYZ	10238	-0.09209688007831573	0.39201868	No	
row_24	LEMD1	12638	-0.28756052255630493	0.26534647	No	
