NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL18	988	0.9247769713401794	-0.04112786	No	
row_1	MAPK3	1981	0.6531030535697937	-0.08738596	No	
row_2	PNP	2916	0.49435439705848694	-0.13311231	No	
row_3	PYCARD	3006	0.48243823647499084	-0.12962376	No	
row_4	SHH	3449	0.4227922856807709	-0.14785948	No	
row_5	IL1A	3918	0.3624840974807739	-0.16870303	No	
row_6	IGFBP2	4437	0.3120917081832886	-0.19337961	No	
row_7	VAV3	4684	0.2834591269493103	-0.20266113	No	
row_8	PPP3CA	4922	0.26277732849121094	-0.21178892	No	
row_9	MAPK1	5087	0.2493782788515091	-0.21688795	No	
row_10	NCK2	5284	0.2316867709159851	-0.2241777	No	
row_11	TNFSF13	5353	0.22497573494911194	-0.22410084	No	
row_12	ICOSLG	5560	0.208291158080101	-0.23239723	No	
row_13	IL23A	5863	0.18115800619125366	-0.24679828	No	
row_14	LGALS9	5996	0.1703336387872696	-0.25145	No	
row_15	CD81	6122	0.16014797985553741	-0.2558758	No	
row_16	ANXA1	6158	0.15657590329647064	-0.2551013	No	
row_17	TIRAP	6200	0.15346050262451172	-0.25473392	No	
row_18	BST1	6255	0.1502050757408142	-0.25518566	No	
row_19	IRS2	6533	0.13183090090751648	-0.2690133	No	
row_20	TYK2	6774	0.11445944756269455	-0.28098965	No	
row_21	IGF2	7897	0.04360080137848854	-0.3458371	No	
row_22	IGF1	8478	0.010437621735036373	-0.379577	No	
row_23	ZNF335	8518	0.00841868668794632	-0.38170666	No	
row_24	CD274	8993	-0.01757209748029709	-0.40911737	No	
row_25	AGER	9176	-0.028579359874129295	-0.41924867	No	
row_26	CSF2RB	9467	-0.04494353383779526	-0.43540272	No	
row_27	PTK2	10169	-0.08748000860214233	-0.47483224	No	
row_28	CD74	10493	-0.1095699816942215	-0.49175194	No	
row_29	JAK2	10744	-0.1290236860513687	-0.50405073	No	
row_30	TNFSF9	11031	-0.14791005849838257	-0.5181151	No	
row_31	HLA-DPA1	11040	-0.14851030707359314	-0.5159065	No	
row_32	SLC7A1	11129	-0.1552431881427765	-0.51825637	No	
row_33	HMGB1	11404	-0.17734460532665253	-0.53108823	No	
row_34	CD276	11483	-0.1834641844034195	-0.53234446	No	
row_35	CLCF1	11995	-0.22872890532016754	-0.558114	No	
row_36	RPS3	12243	-0.2509801387786865	-0.56803936	No	
row_37	HLA-DPB1	12253	-0.25208285450935364	-0.56402266	No	
row_38	MIF	12316	-0.25797146558761597	-0.56300014	No	
row_39	IL1B	12634	-0.28696516156196594	-0.5763717	No	
row_40	FADD	12844	-0.3084854781627655	-0.58303785	No	
row_41	NMB	12873	-0.3110584616661072	-0.57906973	No	
row_42	ZP3	12949	-0.31890609860420227	-0.5777095	No	
row_43	CD6	13376	-0.36421868205070496	-0.5960649	No	
row_44	TGFBR2	13503	-0.3771095275878906	-0.59663904	No	
row_45	NCK1	13669	-0.39392220973968506	-0.5991915	No	
row_46	IL6	13800	-0.4080188274383545	-0.59944254	Yes	
row_47	NR5A2	13812	-0.41007402539253235	-0.5926954	Yes	
row_48	HLA-DMB	14032	-0.436221182346344	-0.5976444	Yes	
row_49	BST2	14044	-0.4381888806819916	-0.59039056	Yes	
row_50	TFRC	14176	-0.45670169591903687	-0.5898227	Yes	
row_51	HLA-E	14446	-0.4966680109500885	-0.5966071	Yes	
row_52	PTPRC	14485	-0.5014212131500244	-0.5897931	Yes	
row_53	LYN	14621	-0.5244251489639282	-0.58823866	Yes	
row_54	FCGR3A	14778	-0.5478093028068542	-0.5874912	Yes	
row_55	CD46	14909	-0.5714734792709351	-0.5847964	Yes	
row_56	IL6ST	14928	-0.5768359899520874	-0.5754533	Yes	
row_57	TNFSF4	14949	-0.5817035436630249	-0.56613946	Yes	
row_58	CD38	14991	-0.589073657989502	-0.55792123	Yes	
row_59	LILRB2	15081	-0.6040101647377014	-0.5522416	Yes	
row_60	HLA-A	15127	-0.6125149726867676	-0.5438349	Yes	
row_61	CSF2RA	15221	-0.6321756839752197	-0.53788173	Yes	
row_62	CSF2	15238	-0.6358398199081421	-0.52735823	Yes	
row_63	CD209	15315	-0.6501550674438477	-0.5200865	Yes	
row_64	CD86	15348	-0.6548299193382263	-0.51015675	Yes	
row_65	AIF1	15373	-0.6585314273834229	-0.49969226	Yes	
row_66	IL15	15398	-0.6638709306716919	-0.48913157	Yes	
row_67	CD80	15406	-0.6656782627105713	-0.47754383	Yes	
row_68	HHLA2	15453	-0.6750651597976685	-0.4680683	Yes	
row_69	SASH3	15514	-0.689113199710846	-0.45915854	Yes	
row_70	EPHB2	15603	-0.7104158997535706	-0.45150274	Yes	
row_71	IL7	15653	-0.7208484411239624	-0.44137758	Yes	
row_72	CD3E	15826	-0.7660653591156006	-0.43763256	Yes	
row_73	NCKAP1L	15848	-0.7712544798851013	-0.42496106	Yes	
row_74	RASAL3	15987	-0.8036267161369324	-0.4185502	Yes	
row_75	CSF1R	16002	-0.8073898553848267	-0.40481797	Yes	
row_76	CD1D	16004	-0.8080062866210938	-0.39031413	Yes	
row_77	CD320	16014	-0.8106591701507568	-0.37623048	Yes	
row_78	MEF2C	16115	-0.8402959108352661	-0.3669359	Yes	
row_79	CCR2	16121	-0.8418749570846558	-0.35205567	Yes	
row_80	PDCD1LG2	16227	-0.8741563558578491	-0.34244332	Yes	
row_81	VCAM1	16256	-0.8872108459472656	-0.32809144	Yes	
row_82	FCRL3	16294	-0.9054781198501587	-0.3139368	Yes	
row_83	IL34	16299	-0.9069849848747253	-0.29782465	Yes	
row_84	IL12A	16331	-0.9176645874977112	-0.2830994	Yes	
row_85	BCL2	16368	-0.9302769303321838	-0.26843935	Yes	
row_86	TNFRSF4	16382	-0.9353803992271423	-0.2523419	Yes	
row_87	CCL19	16457	-0.9691075682640076	-0.23920487	Yes	
row_88	GPR183	16474	-0.9749802350997925	-0.22256921	Yes	
row_89	CD28	16598	-1.0360615253448486	-0.21109186	Yes	
row_90	CD55	16680	-1.0933269262313843	-0.19612558	Yes	
row_91	IL12RB1	16721	-1.1265220642089844	-0.17816268	Yes	
row_92	CCDC88B	16806	-1.193970799446106	-0.16155802	Yes	
row_93	TNFSF13B	16809	-1.1951348781585693	-0.14013568	Yes	
row_94	XCL1	16816	-1.2020654678344727	-0.118822396	Yes	
row_95	EBI3	16849	-1.2306081056594849	-0.09851563	Yes	
row_96	CD70	17037	-1.5202531814575195	-0.0820557	Yes	
row_97	NFATC2	17042	-1.53166663646698	-0.05468519	Yes	
row_98	CSF1	17086	-1.6821471452713013	-0.02688401	Yes	
row_99	CCL5	17126	-1.838987112045288	0.0039778105	Yes	
