NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL18	988	0.9247769713401794	-0.03869168	No	
row_1	PNP	2916	0.49435439705848694	-0.14114548	No	
row_2	PYCARD	3006	0.48243823647499084	-0.13640352	No	
row_3	SHH	3449	0.4227922856807709	-0.15352587	No	
row_4	IL1A	3918	0.3624840974807739	-0.17341119	No	
row_5	IGFBP2	4437	0.3120917081832886	-0.19725804	No	
row_6	VAV3	4684	0.2834591269493103	-0.20579517	No	
row_7	PPP3CA	4922	0.26277732849121094	-0.2142325	No	
row_8	NCK2	5284	0.2316867709159851	-0.23055921	No	
row_9	TNFSF13	5353	0.22497573494911194	-0.22989677	No	
row_10	ICOSLG	5560	0.208291158080101	-0.2376451	No	
row_11	IL23A	5863	0.18115800619125366	-0.25156447	No	
row_12	LGALS9	5996	0.1703336387872696	-0.25576952	No	
row_13	CD81	6122	0.16014797985553741	-0.25977534	No	
row_14	ANXA1	6158	0.15657590329647064	-0.2585938	No	
row_15	TIRAP	6200	0.15346050262451172	-0.2578272	No	
row_16	BST1	6255	0.1502050757408142	-0.2578876	No	
row_17	IRS2	6533	0.13183090090751648	-0.27136236	No	
row_18	TYK2	6774	0.11445944756269455	-0.28303236	No	
row_19	IGF2	7897	0.04360080137848854	-0.3477208	No	
row_20	IGF1	8478	0.010437621735036373	-0.3814099	No	
row_21	ZNF335	8518	0.00841868668794632	-0.38351613	No	
row_22	CD274	8993	-0.01757209748029709	-0.41086188	No	
row_23	AGER	9176	-0.028579359874129295	-0.4209117	No	
row_24	CD74	10493	-0.1095699816942215	-0.4955807	No	
row_25	JAK2	10744	-0.1290236860513687	-0.50753504	No	
row_26	TNFSF9	11031	-0.14791005849838257	-0.5212045	No	
row_27	HLA-DPA1	11040	-0.14851030707359314	-0.51861084	No	
row_28	SLC7A1	11129	-0.1552431881427765	-0.5205549	No	
row_29	HMGB1	11404	-0.17734460532665253	-0.5329161	No	
row_30	CD276	11483	-0.1834641844034195	-0.5336939	No	
row_31	CLCF1	11995	-0.22872890532016754	-0.55884993	No	
row_32	RPS3	12243	-0.2509801387786865	-0.568115	No	
row_33	HLA-DPB1	12253	-0.25208285450935364	-0.5634449	No	
row_34	MIF	12316	-0.25797146558761597	-0.5617516	No	
row_35	IL1B	12634	-0.28696516156196594	-0.5743668	No	
row_36	FADD	12844	-0.3084854781627655	-0.5802252	No	
row_37	ZP3	12949	-0.31890609860420227	-0.579731	No	
row_38	CD6	13376	-0.36421868205070496	-0.5971254	No	
row_39	TGFBR2	13503	-0.3771095275878906	-0.5967174	No	
row_40	NCK1	13669	-0.39392220973968506	-0.5982427	Yes	
row_41	IL6	13800	-0.4080188274383545	-0.5974314	Yes	
row_42	NR5A2	13812	-0.41007402539253235	-0.58962154	Yes	
row_43	HLA-DMB	14032	-0.436221182346344	-0.5934315	Yes	
row_44	TFRC	14176	-0.45670169591903687	-0.59237665	Yes	
row_45	HLA-E	14446	-0.4966680109500885	-0.5978634	Yes	
row_46	PTPRC	14485	-0.5014212131500244	-0.58974886	Yes	
row_47	FCGR3A	14778	-0.5478093028068542	-0.5955259	Yes	
row_48	CD46	14909	-0.5714734792709351	-0.5913453	Yes	
row_49	IL6ST	14928	-0.5768359899520874	-0.58050716	Yes	
row_50	TNFSF4	14949	-0.5817035436630249	-0.56968564	Yes	
row_51	CD38	14991	-0.589073657989502	-0.5599397	Yes	
row_52	LILRB2	15081	-0.6040101647377014	-0.55269176	Yes	
row_53	HLA-A	15127	-0.6125149726867676	-0.5426965	Yes	
row_54	CD209	15315	-0.6501550674438477	-0.54022604	Yes	
row_55	CD86	15348	-0.6548299193382263	-0.52859855	Yes	
row_56	AIF1	15373	-0.6585314273834229	-0.51642716	Yes	
row_57	IL15	15398	-0.6638709306716919	-0.50414574	Yes	
row_58	CD80	15406	-0.6656782627105713	-0.49083325	Yes	
row_59	HHLA2	15453	-0.6750651597976685	-0.47960708	Yes	
row_60	SASH3	15514	-0.689113199710846	-0.4689097	Yes	
row_61	EPHB2	15603	-0.7104158997535706	-0.45940998	Yes	
row_62	IL7	15653	-0.7208484411239624	-0.44741544	Yes	
row_63	CD3E	15826	-0.7660653591156006	-0.44167888	Yes	
row_64	NCKAP1L	15848	-0.7712544798851013	-0.42700854	Yes	
row_65	RASAL3	15987	-0.8036267161369324	-0.41851023	Yes	
row_66	CD1D	16004	-0.8080062866210938	-0.40279007	Yes	
row_67	CD320	16014	-0.8106591701507568	-0.38660604	Yes	
row_68	MEF2C	16115	-0.8402959108352661	-0.37513053	Yes	
row_69	CCR2	16121	-0.8418749570846558	-0.35806924	Yes	
row_70	PDCD1LG2	16227	-0.8741563558578491	-0.34618807	Yes	
row_71	VCAM1	16256	-0.8872108459472656	-0.3295367	Yes	
row_72	FCRL3	16294	-0.9054781198501587	-0.31303492	Yes	
row_73	IL12A	16331	-0.9176645874977112	-0.29622346	Yes	
row_74	BCL2	16368	-0.9302769303321838	-0.27915204	Yes	
row_75	TNFRSF4	16382	-0.9353803992271423	-0.26063094	Yes	
row_76	CCL19	16457	-0.9691075682640076	-0.24498042	Yes	
row_77	GPR183	16474	-0.9749802350997925	-0.22581841	Yes	
row_78	CD28	16598	-1.0360615253448486	-0.21165209	Yes	
row_79	CD55	16680	-1.0933269262313843	-0.1938502	Yes	
row_80	IL12RB1	16721	-1.1265220642089844	-0.1729674	Yes	
row_81	CCDC88B	16806	-1.193970799446106	-0.15326631	Yes	
row_82	TNFSF13B	16809	-1.1951348781585693	-0.12874788	Yes	
row_83	XCL1	16816	-1.2020654678344727	-0.1043204	Yes	
row_84	EBI3	16849	-1.2306081056594849	-0.08082441	Yes	
row_85	CD70	17037	-1.5202531814575195	-0.06041859	Yes	
row_86	NFATC2	17042	-1.53166663646698	-0.029080123	Yes	
row_87	CCL5	17126	-1.838987112045288	0.0039751595	Yes	
