NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL18	988	0.9247769713401794	-0.03933388	No	
row_1	PNP	2916	0.49435439705848694	-0.14213577	No	
row_2	PYCARD	3006	0.48243823647499084	-0.13772736	No	
row_3	SHH	3449	0.4227922856807709	-0.15514328	No	
row_4	IL1A	3918	0.3624840974807739	-0.1752806	No	
row_5	IGFBP2	4437	0.3120917081832886	-0.19934481	No	
row_6	VAV3	4684	0.2834591269493103	-0.2080786	No	
row_7	PPP3CA	4922	0.26277732849121094	-0.21669826	No	
row_8	NCK2	5284	0.2316867709159851	-0.23318624	No	
row_9	TNFSF13	5353	0.22497573494911194	-0.23267944	No	
row_10	ICOSLG	5560	0.208291158080101	-0.24057238	No	
row_11	IL23A	5863	0.18115800619125366	-0.25461793	No	
row_12	LGALS9	5996	0.1703336387872696	-0.25894108	No	
row_13	CD81	6122	0.16014797985553741	-0.26305795	No	
row_14	ANXA1	6158	0.15657590329647064	-0.26198468	No	
row_15	TIRAP	6200	0.15346050262451172	-0.26132423	No	
row_16	BST1	6255	0.1502050757408142	-0.2614886	No	
row_17	IRS2	6533	0.13183090090751648	-0.27505538	No	
row_18	TYK2	6774	0.11445944756269455	-0.28680524	No	
row_19	IGF2	7897	0.04360080137848854	-0.35152763	No	
row_20	IGF1	8478	0.010437621735036373	-0.38522592	No	
row_21	ZNF335	8518	0.00841868668794632	-0.3873381	No	
row_22	CD274	8993	-0.01757209748029709	-0.41469762	No	
row_23	AGER	9176	-0.028579359874129295	-0.4247678	No	
row_24	CD74	10493	-0.1095699816942215	-0.49951696	No	
row_25	JAK2	10744	-0.1290236860513687	-0.5115613	No	
row_26	TNFSF9	11031	-0.14791005849838257	-0.5253339	No	
row_27	HLA-DPA1	11040	-0.14851030707359314	-0.5228429	No	
row_28	SLC7A1	11129	-0.1552431881427765	-0.5248945	No	
row_29	HMGB1	11404	-0.17734460532665253	-0.53737915	No	
row_30	CD276	11483	-0.1834641844034195	-0.53828394	No	
row_31	CLCF1	11995	-0.22872890532016754	-0.5635997	No	
row_32	RPS3	12243	-0.2509801387786865	-0.573039	No	
row_33	HLA-DPB1	12253	-0.25208285450935364	-0.5685431	No	
row_34	MIF	12316	-0.25797146558761597	-0.56702816	No	
row_35	IL1B	12634	-0.28696516156196594	-0.5798427	No	
row_36	FADD	12844	-0.3084854781627655	-0.5859149	No	
row_37	ZP3	12949	-0.31890609860420227	-0.5856413	No	
row_38	CD6	13376	-0.36421868205070496	-0.60328877	No	
row_39	TGFBR2	13503	-0.3771095275878906	-0.6031418	No	
row_40	NCK1	13669	-0.39392220973968506	-0.6049397	No	
row_41	IL6	13800	-0.4080188274383545	-0.6044107	No	
row_42	NR5A2	13812	-0.41007402539253235	-0.5968842	No	
row_43	HLA-DMB	14032	-0.436221182346344	-0.6009962	No	
row_44	TFRC	14176	-0.45670169591903687	-0.6002573	No	
row_45	HLA-E	14446	-0.4966680109500885	-0.60608804	Yes	
row_46	PTPRC	14485	-0.5014212131500244	-0.59832007	Yes	
row_47	FCGR3A	14778	-0.5478093028068542	-0.6044765	Yes	
row_48	CD46	14909	-0.5714734792709351	-0.60069114	Yes	
row_49	IL6ST	14928	-0.5768359899520874	-0.5902515	Yes	
row_50	TNFSF4	14949	-0.5817035436630249	-0.57983184	Yes	
row_51	CD38	14991	-0.589073657989502	-0.57049304	Yes	
row_52	LILRB2	15081	-0.6040101647377014	-0.56366265	Yes	
row_53	HLA-A	15127	-0.6125149726867676	-0.5540906	Yes	
row_54	CD209	15315	-0.6501550674438477	-0.5520699	Yes	
row_55	CD86	15348	-0.6548299193382263	-0.5408949	Yes	
row_56	AIF1	15373	-0.6585314273834229	-0.5291785	Yes	
row_57	IL15	15398	-0.6638709306716919	-0.51735574	Yes	
row_58	CD80	15406	-0.6656782627105713	-0.50450313	Yes	
row_59	HHLA2	15453	-0.6750651597976685	-0.49374345	Yes	
row_60	SASH3	15514	-0.689113199710846	-0.4835223	Yes	
row_61	EPHB2	15603	-0.7104158997535706	-0.47451362	Yes	
row_62	IL7	15653	-0.7208484411239624	-0.4630172	Yes	
row_63	CD3E	15826	-0.7660653591156006	-0.4578104	Yes	
row_64	NCKAP1L	15848	-0.7712544798851013	-0.44367293	Yes	
row_65	RASAL3	15987	-0.8036267161369324	-0.43573022	Yes	
row_66	CD1D	16004	-0.8080062866210938	-0.42056826	Yes	
row_67	CD320	16014	-0.8106591701507568	-0.40494424	Yes	
row_68	MEF2C	16115	-0.8402959108352661	-0.39404958	Yes	
row_69	CCR2	16121	-0.8418749570846558	-0.37756982	Yes	
row_70	PDCD1LG2	16227	-0.8741563558578491	-0.36629286	Yes	
row_71	VCAM1	16256	-0.8872108459472656	-0.3502545	Yes	
row_72	FCRL3	16294	-0.9054781198501587	-0.33437833	Yes	
row_73	IL12A	16331	-0.9176645874977112	-0.31820092	Yes	
row_74	BCL2	16368	-0.9302769303321838	-0.30177224	Yes	
row_75	TNFRSF4	16382	-0.9353803992271423	-0.28389734	Yes	
row_76	CCL19	16457	-0.9691075682640076	-0.26891652	Yes	
row_77	GPR183	16474	-0.9749802350997925	-0.25042805	Yes	
row_78	CD28	16598	-1.0360615253448486	-0.23697785	Yes	
row_79	CD55	16680	-1.0933269262313843	-0.2199315	Yes	
row_80	IL12RB1	16721	-1.1265220642089844	-0.19982702	Yes	
row_81	CCDC88B	16806	-1.193970799446106	-0.180951	Yes	
row_82	TNFSF13B	16809	-1.1951348781585693	-0.15725815	Yes	
row_83	XCL1	16816	-1.2020654678344727	-0.13366106	Yes	
row_84	EBI3	16849	-1.2306081056594849	-0.11101528	Yes	
row_85	CD70	17037	-1.5202531814575195	-0.09166026	Yes	
row_86	NFATC2	17042	-1.53166663646698	-0.061379865	Yes	
row_87	CSF1	17086	-1.6821471452713013	-0.030381458	Yes	
row_88	CCL5	17126	-1.838987112045288	0.0039753877	Yes	
