NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RC3H1	580	1.1262437105178833	-0.007245423	No	
row_1	INPP5D	1738	0.7053706049919128	-0.058144093	No	
row_2	DDRGK1	1771	0.6977236270904541	-0.043514807	No	
row_3	SUPT6H	1865	0.6796316504478455	-0.032876194	No	
row_4	SYK	2894	0.4971923232078552	-0.08116283	No	
row_5	VAV3	4684	0.2834591269493103	-0.17895174	No	
row_6	TP53BP1	4970	0.25874975323677063	-0.18947957	No	
row_7	INHA	5103	0.24783270061016083	-0.19132917	No	
row_8	TNFSF13	5353	0.22497573494911194	-0.20055294	No	
row_9	CD81	6122	0.16014797985553741	-0.24162328	No	
row_10	TIRAP	6200	0.15346050262451172	-0.24249196	No	
row_11	BST1	6255	0.1502050757408142	-0.24209425	No	
row_12	IRS2	6533	0.13183090090751648	-0.25515595	No	
row_13	PAXIP1	6585	0.127511128783226	-0.25511962	No	
row_14	BANK1	7263	0.08101155608892441	-0.2927461	No	
row_15	TNIP2	7871	0.04523289203643799	-0.32713008	No	
row_16	XBP1	8027	0.03675312548875809	-0.3353142	No	
row_17	FOXJ1	8156	0.029134579002857208	-0.34210148	No	
row_18	AHR	8250	0.02349243499338627	-0.34697792	No	
row_19	SLC15A4	8320	0.019268717616796494	-0.35055244	No	
row_20	RIF1	8846	-0.009620726108551025	-0.38098904	No	
row_21	PPP2R3C	9425	-0.04253627359867096	-0.41374293	No	
row_22	NOD2	10108	-0.08258462697267532	-0.45162427	No	
row_23	CD74	10493	-0.1095699816942215	-0.47146198	No	
row_24	ZFP36L2	10989	-0.14551754295825958	-0.49693295	No	
row_25	INHBA	11736	-0.2074550837278366	-0.5355997	No	
row_26	CLCF1	11995	-0.22872890532016754	-0.54526037	No	
row_27	TNFAIP3	12052	-0.23373401165008545	-0.5430044	No	
row_28	CD300A	12105	-0.2379617840051651	-0.54041475	No	
row_29	MIF	12316	-0.25797146558761597	-0.5465804	No	
row_30	TGFB1	12508	-0.2745126485824585	-0.55124515	No	
row_31	SPI1	13459	-0.3721458315849304	-0.5979329	No	
row_32	TNFRSF21	13679	-0.3950575888156891	-0.6013827	No	
row_33	IL6	13800	-0.4080188274383545	-0.5987436	No	
row_34	MZB1	13971	-0.4280661642551422	-0.59855086	No	
row_35	TFRC	14176	-0.45670169591903687	-0.59966695	No	
row_36	PTPRC	14485	-0.5014212131500244	-0.6058	Yes	
row_37	IKZF3	14588	-0.5179247856140137	-0.5995107	Yes	
row_38	CR1	14605	-0.5211798548698425	-0.5881215	Yes	
row_39	MMP14	14612	-0.5230637788772583	-0.57610357	Yes	
row_40	LAPTM5	14629	-0.5257602334022522	-0.564606	Yes	
row_41	TNFSF4	14949	-0.5817035436630249	-0.56948316	Yes	
row_42	CD38	14991	-0.589073657989502	-0.55794865	Yes	
row_43	ID2	15026	-0.5963972806930542	-0.54583216	Yes	
row_44	TYROBP	15234	-0.6354455947875977	-0.54289687	Yes	
row_45	ATM	15285	-0.6450368165969849	-0.5305647	Yes	
row_46	FCGR2B	15395	-0.6636222004890442	-0.5212392	Yes	
row_47	SH3KBP1	15428	-0.6692889928817749	-0.50728226	Yes	
row_48	SAMSN1	15499	-0.6849372386932373	-0.49517483	Yes	
row_49	PARP3	15502	-0.6862536072731018	-0.47906452	Yes	
row_50	SASH3	15514	-0.689113199710846	-0.46341228	Yes	
row_51	EPHB2	15603	-0.7104158997535706	-0.4517537	Yes	
row_52	IL7	15653	-0.7208484411239624	-0.43757054	Yes	
row_53	MNDA	15723	-0.7396542429924011	-0.42411086	Yes	
row_54	NCKAP1L	15848	-0.7712544798851013	-0.41311637	Yes	
row_55	CD27	15993	-0.8053374290466309	-0.40248412	Yes	
row_56	CD320	16014	-0.8106591701507568	-0.3844835	Yes	
row_57	SLAMF8	16036	-0.8192026019096375	-0.3663392	Yes	
row_58	IL10	16096	-0.8348506093025208	-0.35004443	Yes	
row_59	MEF2C	16115	-0.8402959108352661	-0.33122617	Yes	
row_60	CTLA4	16123	-0.8430529236793518	-0.31170025	Yes	
row_61	FCRL3	16294	-0.9054781198501587	-0.30021867	Yes	
row_62	BCL2	16368	-0.9302769303321838	-0.2824852	Yes	
row_63	TNFRSF4	16382	-0.9353803992271423	-0.26112652	Yes	
row_64	GPR183	16474	-0.9749802350997925	-0.2433873	Yes	
row_65	MAD2L2	16528	-1.0007524490356445	-0.22281916	Yes	
row_66	IL4I1	16593	-1.032375454902649	-0.20214576	Yes	
row_67	ZFP36L1	16682	-1.0943005084991455	-0.18140987	Yes	
row_68	SFRP1	16738	-1.1411181688308716	-0.15763947	Yes	
row_69	TNFSF13B	16809	-1.1951348781585693	-0.13346793	Yes	
row_70	BTK	16869	-1.2504221200942993	-0.107346565	Yes	
row_71	NFATC2	17042	-1.53166663646698	-0.08117499	Yes	
row_72	THEMIS2	17084	-1.6683167219161987	-0.044120777	Yes	
row_73	CD22	17162	-2.1351375579833984	0.0018691815	Yes	
