NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPHA2	110	1.6947561502456665	0.06524682	Yes	
row_1	PLEKHG5	146	1.6347830295562744	0.13232972	Yes	
row_2	TXNL1	219	1.5056077241897583	0.19179392	Yes	
row_3	NISCH	391	1.2667642831802368	0.23538826	Yes	
row_4	TMOD3	588	1.1225132942199707	0.27142596	Yes	
row_5	DLG5	613	1.1075515747070312	0.31685728	Yes	
row_6	VANGL2	623	1.1014069318771362	0.36290315	Yes	
row_7	PIK3R2	632	1.097188115119934	0.40882894	Yes	
row_8	DSP	711	1.0470364093780518	0.44855374	Yes	
row_9	SCRIB	730	1.0364176034927368	0.49132708	Yes	
row_10	FAM83B	785	1.0121039152145386	0.53097385	Yes	
row_11	CAV1	832	0.9915261268615723	0.57021683	Yes	
row_12	ARHGAP35	876	0.9755901098251343	0.6089609	Yes	
row_13	RND3	1614	0.7343378067016602	0.5970495	Yes	
row_14	LEMD3	1884	0.6764242053031921	0.60997003	Yes	
row_15	PTPN13	2180	0.6136640310287476	0.61872125	Yes	
row_16	PKP4	2319	0.5865459442138672	0.6354777	Yes	
row_17	ROCK1	4352	0.3211408257484436	0.530607	No	
row_18	VANGL1	5212	0.23781973123550415	0.49058983	No	
row_19	ARHGAP5	5227	0.23671847581863403	0.49978283	No	
row_20	ANKRD26	5515	0.21171371638774872	0.49200484	No	
row_21	UBXN11	5955	0.17371538281440735	0.4737598	No	
row_22	DEPDC1B	6348	0.14381089806556702	0.45699006	No	
row_23	TNFAIP1	6493	0.13418890535831451	0.4542699	No	
row_24	CKAP4	6852	0.10967075079679489	0.4380385	No	
row_25	DST	8097	0.03228131681680679	0.36688814	No	
row_26	WDR6	8109	0.03152615949511528	0.36757994	No	
row_27	RASAL2	8131	0.030288925394415855	0.3676365	No	
row_28	KTN1	8138	0.029932767152786255	0.3685524	No	
row_29	CKB	8490	0.009955308400094509	0.34851283	No	
row_30	PICALM	9117	-0.025211920961737633	0.31308803	No	
row_31	RBMX	10268	-0.09426405280828476	0.25003794	No	
row_32	ARHGAP21	10551	-0.11420522630214691	0.23842849	No	
row_33	PIK3R1	11574	-0.19238752126693726	0.18698868	No	
row_34	CPD	12029	-0.2316059172153473	0.17031704	No	
row_35	MUC13	13989	-0.4302847981452942	0.07431654	No	
row_36	CCDC88A	14179	-0.45724543929100037	0.08263294	No	
row_37	KCTD13	14560	-0.5128666162490845	0.08216737	No	
row_38	FLOT2	16073	-0.8270241022109985	0.028998649	No	
row_39	SEMA4F	16182	-0.8582327961921692	0.058991548	No	
