NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AMBP	2758	0.5165174603462219	-0.14247292	No	
row_1	LRP1	2794	0.5106414556503296	-0.12636071	No	
row_2	IGHA1	11802	-0.2121950089931488	-0.64406794	No	
row_3	HBB	12461	-0.27105912566185	-0.67280364	Yes	
row_4	IGHA2	12529	-0.27621567249298096	-0.6668914	Yes	
row_5	IGLC1	12696	-0.29257825016975403	-0.66617066	Yes	
row_6	IGLC3	12778	-0.301393985748291	-0.66017973	Yes	
row_7	IGLC2	12847	-0.30872073769569397	-0.65317017	Yes	
row_8	IGKC	12864	-0.3099561035633087	-0.64308435	Yes	
row_9	HP	13148	-0.33852291107177734	-0.64755327	Yes	
row_10	CD163	13349	-0.36093538999557495	-0.6463852	Yes	
row_11	IGLV1-40	13489	-0.3747820258140564	-0.64116764	Yes	
row_12	IGLV2-11	13623	-0.38917067646980286	-0.6350886	Yes	
row_13	IGHV4-59	13940	-0.4244635999202728	-0.6384268	Yes	
row_14	IGLV6-57	14049	-0.43862399458885193	-0.62913185	Yes	
row_15	IGLV7-43	14343	-0.48056918382644653	-0.6291342	Yes	
row_16	IGLV1-51	14388	-0.48692190647125244	-0.6143901	Yes	
row_17	APOL1	14541	-0.5101357698440552	-0.60511875	Yes	
row_18	IGKV4-1	14595	-0.518789529800415	-0.58976656	Yes	
row_19	HBA2	14610	-0.5222861766815186	-0.57201576	Yes	
row_20	IGLV1-47	14680	-0.5334439277648926	-0.5570757	Yes	
row_21	IGLV2-14	14716	-0.539795458316803	-0.53992707	Yes	
row_22	IGKV1-5	14893	-0.5681278109550476	-0.5299937	Yes	
row_23	IGLV2-23	15178	-0.6226749420166016	-0.52441937	Yes	
row_24	IGKV3-11	15192	-0.6247877478599548	-0.50296634	Yes	
row_25	IGLV1-44	15200	-0.6256463527679443	-0.48113286	Yes	
row_26	IGKV3-15	15257	-0.6399626135826111	-0.46164793	Yes	
row_27	IGHV1-46	15273	-0.6436104774475098	-0.43964234	Yes	
row_28	IGHV1-69	15283	-0.6448103189468384	-0.41724423	Yes	
row_29	IGHV3-23	15336	-0.653030276298523	-0.39706147	Yes	
row_30	IGKV3-20	15583	-0.7050589919090271	-0.38634238	Yes	
row_31	IGKV2-30	15681	-0.7266039848327637	-0.3661683	Yes	
row_32	IGLV3-1	15782	-0.7560011744499207	-0.3451241	Yes	
row_33	IGHV4-39	15804	-0.7606301307678223	-0.31930837	Yes	
row_34	IGKV1-16	15946	-0.7918122410774231	-0.29938206	Yes	
row_35	IGKV1-12	16061	-0.8241094350814819	-0.27673304	Yes	
row_36	IGKV1D-33	16080	-0.8295106887817383	-0.24829367	Yes	
row_37	IGHV3-11	16101	-0.8356919288635254	-0.2197512	Yes	
row_38	IGKV1-39	16108	-0.837536096572876	-0.19032675	Yes	
row_39	IGKV1D-39	16112	-0.8389352560043335	-0.16067761	Yes	
row_40	IGHV3-7	16154	-0.8491643667221069	-0.13288084	Yes	
row_41	IGLV3-19	16176	-0.8560526371002197	-0.103672855	Yes	
row_42	IGLV2-8	16195	-0.8613712787628174	-0.07410085	Yes	
row_43	IGHV3-33	16255	-0.8869988322257996	-0.046008747	Yes	
row_44	IGKV2-28	16279	-0.8984760046005249	-0.015409256	Yes	
row_45	IGKV2D-28	16435	-0.9594245553016663	0.009659261	Yes	
row_46	IGHV1-2	16463	-0.9717076420783997	0.04262887	Yes	
