NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT6A	2	2.7877910137176514	0.040482424	Yes	
row_1	KLK5	29	2.141427755355835	0.07014809	Yes	
row_2	KRT6B	39	2.025841236114502	0.09912464	Yes	
row_3	SPRR1A	41	2.0078649520874023	0.12830727	Yes	
row_4	KRT4	63	1.8649063110351562	0.15423828	Yes	
row_5	TP63	73	1.8166117668151855	0.18016776	Yes	
row_6	EPHA2	110	1.6947561502456665	0.2027436	Yes	
row_7	KRT5	125	1.670061707496643	0.22624642	Yes	
row_8	FA2H	137	1.652738332748413	0.2496724	Yes	
row_9	KRT78	139	1.6477932929992676	0.2736112	Yes	
row_10	IVL	171	1.579440951347351	0.29480007	Yes	
row_11	SPRR3	183	1.5569982528686523	0.31683177	Yes	
row_12	EVPL	193	1.5354450941085815	0.33866656	Yes	
row_13	TMEM79	225	1.4975943565368652	0.35866347	Yes	
row_14	FLG	233	1.4767369031906128	0.37976024	Yes	
row_15	SCEL	262	1.4197419881820679	0.3987988	Yes	
row_16	SPRR1B	313	1.3611721992492676	0.41569778	Yes	
row_17	ALOXE3	318	1.3551675081253052	0.43519956	Yes	
row_18	KRT16	328	1.3370091915130615	0.45414445	Yes	
row_19	HDAC1	332	1.3273217678070068	0.47329918	Yes	
row_20	ASPRV1	410	1.249198079109192	0.4869884	Yes	
row_21	CSTA	690	1.0599539279937744	0.48610806	Yes	
row_22	DSP	711	1.0470364093780518	0.5001867	Yes	
row_23	EXPH5	721	1.040971279144287	0.51482034	Yes	
row_24	KRT10	802	1.0059760808944702	0.524792	Yes	
row_25	SFN	874	0.9757299423217773	0.5348495	Yes	
row_26	FGFR2	906	0.9608617424964905	0.54702985	Yes	
row_27	HRNR	907	0.9600125551223755	0.5610108	Yes	
row_28	CLDN1	955	0.9401333928108215	0.57195354	Yes	
row_29	IL18	988	0.9247769713401794	0.58354986	Yes	
row_30	AHDC1	997	0.9210203289985657	0.5964951	Yes	
row_31	KRT17	1019	0.9151328802108765	0.6085943	Yes	
row_32	ABCA12	1067	0.8965908885002136	0.61890286	Yes	
row_33	CLDN4	1203	0.8417640924453735	0.6232665	Yes	
row_34	DHCR24	1510	0.7594205737113953	0.6164304	Yes	
row_35	PKD1	1556	0.7490582466125488	0.62470746	Yes	
row_36	CASP3	1601	0.7383151650428772	0.63288647	Yes	
row_37	TGM1	1653	0.7250101566314697	0.6404624	Yes	
row_38	BCR	1658	0.7241265177726746	0.6507741	Yes	
row_39	KRT80	1933	0.6642436981201172	0.64442337	Yes	
row_40	SLC2A10	1966	0.6574263572692871	0.6521262	Yes	
row_41	EREG	1967	0.6573942303657532	0.6617	Yes	
row_42	KRT75	2084	0.635769784450531	0.66417485	Yes	
row_43	ST14	2226	0.6032450795173645	0.664714	Yes	
row_44	RIPK4	2295	0.5897782444953918	0.66932625	Yes	
row_45	ITGB4	2733	0.5198966264724731	0.6513406	No	
row_46	GRHL2	2958	0.4872466027736664	0.64533633	No	
row_47	CDH3	3161	0.4606720805168152	0.64023167	No	
row_48	HDAC2	3185	0.4579421877861023	0.64555573	No	
row_49	VPS33B	3316	0.44201767444610596	0.64439017	No	
row_50	APCDD1	3446	0.4235803782939911	0.6430146	No	
row_51	LSR	3479	0.4184768497943878	0.64723754	No	
row_52	FUZ	3541	0.41000765562057495	0.64964116	No	
row_53	ALOX12	3663	0.3947702944278717	0.6483138	No	
row_54	KRT7	3698	0.38953834772109985	0.6519984	No	
row_55	PPP3CA	4922	0.26277732849121094	0.58430064	No	
