NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME DATABASE ID RELEASE 91%198933	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME DATABASE ID RELEASE 91%198933	Details ...	129	-0.6894601	-2.9009557	0.0	0.0	0.0	2853	tags=71%, list=17%, signal=85%	
INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	INITIAL TRIGGERING OF COMPLEMENT%REACTOME%R-HSA-166663.4	Details ...	56	-0.7144308	-2.6581228	0.0	0.0	0.0	4500	tags=93%, list=26%, signal=125%	
CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 91%5690714	CD22 MEDIATED BCR REGULATION%REACTOME DATABASE ID RELEASE 91%5690714	Details ...	45	-0.7446243	-2.6397736	0.0	0.0	0.0	3707	tags=89%, list=22%, signal=113%	
COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%166658	COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%166658	Details ...	75	-0.67142606	-2.6301038	0.0	0.0	0.0	4812	tags=89%, list=28%, signal=124%	
CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME DATABASE ID RELEASE 91%173623	CLASSICAL ANTIBODY-MEDIATED COMPLEMENT ACTIVATION%REACTOME DATABASE ID RELEASE 91%173623	Details ...	47	-0.73087	-2.6040502	0.0	0.0	0.0	4500	tags=98%, list=26%, signal=132%	
CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	CREATION OF C4 AND C2 ACTIVATORS%REACTOME%R-HSA-166786.4	Details ...	50	-0.7315523	-2.5932915	0.0	0.0	0.0	4500	tags=98%, list=26%, signal=132%	
EXTRAFOLLICULAR AND FOLLICULAR B CELL ACTIVATION BY SARS COV 2%WIKIPATHWAYS_20250210%WP5218%HOMO SAPIENS	EXTRAFOLLICULAR AND FOLLICULAR B CELL ACTIVATION BY SARS COV 2%WIKIPATHWAYS_20250210%WP5218%HOMO SAPIENS	Details ...	49	-0.73130906	-2.588963	0.0	0.0	0.0	2711	tags=67%, list=16%, signal=80%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	Details ...	148	-0.5985948	-2.5869532	0.0	0.0	0.0	2825	tags=53%, list=16%, signal=63%	
REGULATION OF COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%977606	REGULATION OF COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 91%977606	Details ...	70	-0.6739893	-2.5824234	0.0	0.0	0.0	4812	tags=90%, list=28%, signal=124%	
FCGR ACTIVATION%REACTOME%R-HSA-2029481.3	FCGR ACTIVATION%REACTOME%R-HSA-2029481.3	Details ...	52	-0.695355	-2.5315433	0.0	0.0	0.0	4500	tags=92%, list=26%, signal=125%	
