NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KERATINIZATION%REACTOME DATABASE ID RELEASE 91%6805567	KERATINIZATION%REACTOME DATABASE ID RELEASE 91%6805567	Details ...	57	0.8166343	2.9812267	0.0	0.0	0.0	2384	tags=81%, list=14%, signal=93%	
FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 91%6809371	FORMATION OF THE CORNIFIED ENVELOPE%REACTOME DATABASE ID RELEASE 91%6809371	Details ...	37	0.8228008	2.7007332	0.0	0.0	0.0	2319	tags=78%, list=13%, signal=90%	
EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	EPIDERMIS DEVELOPMENT%GOBP%GO:0008544	Details ...	127	0.654042	2.6990578	0.0	0.0	0.0	1967	tags=43%, list=11%, signal=49%	
SKIN DEVELOPMENT%GOBP%GO:0043588	SKIN DEVELOPMENT%GOBP%GO:0043588	Details ...	96	0.66932625	2.6265907	0.0	0.0	0.0	2295	tags=47%, list=13%, signal=54%	
KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	KERATINOCYTE DIFFERENTIATION%GOBP%GO:0030216	Details ...	47	0.75392896	2.588737	0.0	0.0	0.0	2226	tags=57%, list=13%, signal=66%	
EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913	EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0009913	Details ...	66	0.68360615	2.5120802	0.0	0.0	0.0	3185	tags=58%, list=19%, signal=70%	
PANCREATIC CANCER SUBTYPES%WIKIPATHWAYS_20250210%WP5390%HOMO SAPIENS	PANCREATIC CANCER SUBTYPES%WIKIPATHWAYS_20250210%WP5390%HOMO SAPIENS	Details ...	25	0.7922628	2.4056993	0.0	0.0	0.0	2114	tags=68%, list=12%, signal=77%	
INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION%GOBP%GO:0045104	INTERMEDIATE FILAMENT CYTOSKELETON ORGANIZATION%GOBP%GO:0045104	Details ...	48	0.66851777	2.3319201	0.0	0.0	0.0	3165	tags=58%, list=18%, signal=71%	
INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103	INTERMEDIATE FILAMENT-BASED PROCESS%GOBP%GO:0045103	Details ...	49	0.6549315	2.3247674	0.0	0.0	0.0	3165	tags=57%, list=18%, signal=70%	
ESTABLISHMENT OF SKIN BARRIER%GOBP%GO:0061436	ESTABLISHMENT OF SKIN BARRIER%GOBP%GO:0061436	Details ...	17	0.8403896	2.3198876	0.0	0.0	0.0	1203	tags=71%, list=7%, signal=76%	
SKIN EPIDERMIS DEVELOPMENT%GOBP%GO:0098773	SKIN EPIDERMIS DEVELOPMENT%GOBP%GO:0098773	Details ...	34	0.7170641	2.3045757	0.0	0.0	0.0	1203	tags=44%, list=7%, signal=47%	
HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	Details ...	170	0.5274769	2.245314	0.0	0.0	0.0	3167	tags=42%, list=18%, signal=51%	
INTERMEDIATE FILAMENT ORGANIZATION%GOBP%GO:0045109	INTERMEDIATE FILAMENT ORGANIZATION%GOBP%GO:0045109	Details ...	36	0.68510455	2.2389917	0.0	0.0	0.0	2384	tags=53%, list=14%, signal=61%	
PID_TAP63_PATHWAY%MSIGDB_C2%PID_TAP63_PATHWAY	PID_TAP63_PATHWAY%MSIGDB_C2%PID_TAP63_PATHWAY	Details ...	44	0.6314241	2.1693802	0.0	0.0010352954	0.012	1642	tags=41%, list=10%, signal=45%	
