NAME	TITLE	SCORE	
GJB5		3.0215511	
CLCA2		2.836764	
KRT6A		2.787791	
VSNL1		2.694401	
KIAA1161		2.630028	
GMDS		2.5775285	
FER1L6		2.547821	
PCDH19		2.5119278	
COL27A1		2.4351828	
KLRG2		2.4313138	
SOX6		2.3768265	
KREMEN1		2.3738022	
KLK10		2.3732285	
SORT1		2.3549852	
PHYHIPL		2.3124475	
FAM189A2		2.2983632	
ATP12A		2.285683	
STX16-NPEPL1		2.2685878	
SYTL5		2.2601848	
KLK12		2.229326	
PLCXD2		2.2081735	
ADH7		2.1821008	
PLXNB3		2.1686747	
TJP2		2.1651084	
PVRL1		2.1609802	
CAPNS2		2.158374	
FAT2		2.156863	
SOX5		2.1479611	
TPH1		2.1415107	
KLK5		2.1414278	
FAM3D		2.1248732	
GJB3		2.1189697	
KLK7		2.0986314	
DSC3		2.0940018	
B3GNT6		2.0729563	
STON2		2.0646057	
TET2		2.0553312	
HAP1		2.0355322	
MAML3		2.028661	
KRT6B		2.0258412	
KRT14		2.009727	
SPRR1A		2.007865	
ZNF812		2.0044017	
FAM27E3		2.0001953	
ACER2		1.9952191	
IL22RA1		1.9833531	
KRT13		1.9831885	
HS3ST6		1.9776555	
AC026806.2		1.9756	
STIM2		1.9740229	
GSN		1.9706031	
PTHLH		1.969168	
TEAD3		1.9410913	
KRT16P3		1.9402931	
PKP1		1.9355137	
LGALS7B		1.931973	
SERPINB2		1.9219673	
CTD-3099C6.9		1.9166673	
CELSR2		1.9085634	
S100A16		1.9068781	
ANKRD35		1.8908702	
LGALS7		1.8814149	
ATP13A5		1.8721122	
KRT4		1.8649063	
JAG2		1.8647478	
LY6D		1.8646553	
GBP6		1.8624868	
MST1R		1.8538483	
RAB15		1.8442088	
CORO2A		1.8405269	
RP5-1142A6.2		1.8246553	
PPP4R1		1.8194098	
UNC5B-AS1		1.8184502	
TP63		1.8166118	
TMEM40		1.8138709	
TRIM62		1.8104279	
LRRC4		1.8052775	
NHSL1		1.7992101	
PLA2G3		1.7973682	
TP53INP2		1.7902321	
KIAA1279		1.7862252	
MAP9		1.7847944	
LHX6		1.7839679	
ALAD		1.7806499	
MANSC1		1.7795513	
KLK11		1.7790414	
DOPEY1		1.7755404	
CTTNBP2		1.7731587	
NHLRC2		1.768113	
SLC4A11		1.7669077	
TMTC2		1.7627352	
CALM1		1.7593356	
WEE1		1.7592086	
FAM160A1		1.7445718	
RP11-649A18.7		1.7430056	
HIATL2		1.7371504	
LZTS2		1.7264225	
CDH26		1.7253907	
CGB7		1.7221812	
SLC12A2		1.7188634	
CAMK2B		1.717492	
RPTN		1.7159102	
ACER3		1.7141433	
GRAMD3		1.709731	
ARHGAP23		1.7071334	
ARHGEF37		1.704824	
SOSTDC1		1.7025331	
ELF5		1.7018224	
GBF1		1.6997666	
FAM122A		1.6953353	
EPHA2		1.6947562	
TMEM87A		1.694738	
EPHA7		1.6940767	
GPR153		1.6938497	
C10orf118		1.6928852	
RP11-324E6.9		1.6927428	
ZNF750		1.6924057	
SLC5A1		1.6859304	
ARHGEF34P		1.6824505	
NT5C2		1.6817329	
C7orf55-LUC7L2		1.6814028	
EYA1		1.679025	
SULT2B1		1.6767617	
SGPL1		1.6745133	
RASSF10		1.6732664	
KRT5		1.6700617	
RP11-734K21.5		1.6698973	
DENND2C		1.6693821	
SPRR2A		1.6657073	
EMP2		1.6654012	
FKRP		1.6650865	
RP11-326K13.4		1.6634328	
GSTP1		1.6634114	
KCNK6		1.6601533	
PHIP		1.6592867	
GPR87		1.6575159	
TAGLN3		1.6566569	
FA2H		1.6527383	
BNIPL		1.6481756	
KRT78		1.6477933	
LGALS9C		1.6468682	
INPP5F		1.6462424	
RGS12		1.6434385	
