NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GJB5	0	3.0215511322021484	0.030759407	Yes	
row_1	KRT6A	2	2.7877910137176514	0.059080545	Yes	
row_2	KLK5	29	2.141427755355835	0.079356976	Yes	
row_3	KLK7	32	2.0986313819885254	0.10060388	Yes	
row_4	KRT6B	39	2.025841236114502	0.12087542	Yes	
row_5	KRT14	40	2.0097270011901855	0.14133444	Yes	
row_6	SPRR1A	41	2.0078649520874023	0.16177452	Yes	
row_7	PTHLH	51	1.969167947769165	0.18129335	Yes	
row_8	KRT4	63	1.8649063110351562	0.19963364	Yes	
row_9	JAG2	64	1.8647477626800537	0.21861678	Yes	
row_10	TP63	73	1.8166117668151855	0.23664118	Yes	
row_11	EPHA2	110	1.6947561502456665	0.2517846	Yes	
row_12	ZNF750	116	1.6924057006835938	0.26872036	Yes	
row_13	KRT5	125	1.670061707496643	0.28525287	Yes	
row_14	FA2H	137	1.652738332748413	0.3014333	Yes	
row_15	KRT78	139	1.6477932929992676	0.31814924	Yes	
row_16	IVL	171	1.579440951347351	0.3324117	Yes	
row_17	SPRR3	183	1.5569982528686523	0.34761748	Yes	
row_18	EVPL	193	1.5354450941085815	0.362721	Yes	
row_19	GRHL3	196	1.5298874378204346	0.3781781	Yes	
row_20	SPINK5	198	1.5291519165039062	0.39368626	Yes	
row_21	NTF4	215	1.5126140117645264	0.40814728	Yes	
row_22	TMEM79	225	1.4975943565368652	0.42286548	Yes	
row_23	FLG	233	1.4767369031906128	0.43748856	Yes	
row_24	SCEL	262	1.4197419881820679	0.45030102	Yes	
row_25	KRT15	289	1.386469841003418	0.462892	Yes	
row_26	SPRR1B	313	1.3611721992492676	0.47540116	Yes	
row_27	ALOXE3	318	1.3551675081253052	0.48896244	Yes	
row_28	COL17A1	320	1.3508069515228271	0.5026551	Yes	
row_29	GRHL1	324	1.3433613777160645	0.5161547	Yes	
row_30	KRT16	328	1.3370091915130615	0.5295897	Yes	
row_31	HDAC1	332	1.3273217678070068	0.5429261	Yes	
row_32	COL7A1	413	1.248119831085205	0.5509448	Yes	
row_33	CSTA	690	1.0599539279937744	0.54556453	Yes	
row_34	DSP	711	1.0470364093780518	0.5550516	Yes	
row_35	EXPH5	721	1.040971279144287	0.5651214	Yes	
row_36	KRT10	802	1.0059760808944702	0.5706751	Yes	
row_37	SFN	874	0.9757299423217773	0.5764482	Yes	
row_38	FGFR2	906	0.9608617424964905	0.5844135	Yes	
row_39	HRNR	907	0.9600125551223755	0.5941864	Yes	
row_40	SPRR2D	911	0.9571194648742676	0.60375416	Yes	
row_41	CLDN1	955	0.9401333928108215	0.6108054	Yes	
row_42	IL18	988	0.9247769713401794	0.6183448	Yes	
row_43	KRT17	1019	0.9151328802108765	0.6259031	Yes	
row_44	ABCA12	1067	0.8965908885002136	0.6322768	Yes	
row_45	CLDN4	1203	0.8417640924453735	0.6329364	Yes	
row_46	SPRR2E	1436	0.7740008234977722	0.627223	Yes	
row_47	OVOL1	1517	0.7587723731994629	0.6302602	Yes	
row_48	CASP3	1601	0.7383151650428772	0.63291335	Yes	
row_49	TGM1	1653	0.7250101566314697	0.6373059	Yes	
row_50	BCR	1658	0.7241265177726746	0.64444315	Yes	
row_51	SPINT1	1792	0.6948255896568298	0.64372414	Yes	
row_52	MYO6	1851	0.6818172335624695	0.64726686	Yes	
row_53	KRT80	1933	0.6642436981201172	0.6492832	Yes	
row_54	EREG	1967	0.6573942303657532	0.654042	Yes	
row_55	KRT75	2084	0.635769784450531	0.6537178	No	
row_56	ST14	2226	0.6032450795173645	0.65159774	No	
row_57	ATP2A2	2310	0.5880301594734192	0.652721	No	
row_58	OVOL2	2669	0.5305660963058472	0.63714725	No	
row_59	FABP5	2873	0.4994972348213196	0.63033855	No	
row_60	PLS1	2900	0.4964853525161743	0.6338694	No	
row_61	GRHL2	2958	0.4872466027736664	0.63549	No	
row_62	SLC44A4	2995	0.48363086581230164	0.6383042	No	
row_63	CDH3	3161	0.4606720805168152	0.6333266	No	
row_64	HDAC2	3185	0.4579421877861023	0.6366409	No	
row_65	APCDD1	3446	0.4235803782939911	0.6257198	No	
row_66	LSR	3479	0.4184768497943878	0.62810504	No	
row_67	FUZ	3541	0.41000765562057495	0.62870497	No	
row_68	EMP1	3604	0.40238797664642334	0.62916875	No	
row_69	ALOX12	3663	0.3947702944278717	0.62978935	No	
row_70	KRT7	3698	0.38953834772109985	0.6317628	No	
row_71	CTNNB1	4288	0.3271506428718567	0.6005842	No	
row_72	ATP2C1	4309	0.3252016603946686	0.60272294	No	
row_73	LAMC2	4690	0.28301408886909485	0.58334017	No	
row_74	PPP3CA	4922	0.26277732849121094	0.57248116	No	
row_75	DLL1	5027	0.2544262707233429	0.5689779	No	
row_76	LAMB3	5240	0.23569469153881073	0.5589564	No	
row_77	YBX1	5315	0.22848419845104218	0.55694675	No	
row_78	TPRN	5345	0.22547650337219238	0.55754304	No	
row_79	PDGFA	5364	0.22410628199577332	0.5587698	No	
row_80	POU2F3	5545	0.20926372706890106	0.55035406	No	
row_81	TGM5	5679	0.19690561294555664	0.5445662	No	
row_82	SLC4A7	5749	0.19061121344566345	0.54246396	No	
row_83	ANXA1	6158	0.15657590329647064	0.5201535	No	
row_84	UGCG	6288	0.14852939546108246	0.5141076	No	
row_85	ATP7A	6508	0.13332466781139374	0.5026338	No	
row_86	WNT10A	6666	0.1220029667019844	0.49467728	No	
row_87	EDA2R	6763	0.11535419523715973	0.490227	No	
row_88	ASAH1	7092	0.09276815503835678	0.47195417	No	
row_89	ERCC3	7290	0.07920778542757034	0.46121842	No	
row_90	JAG1	7501	0.06637636572122574	0.4495904	No	
row_91	S100A7	7989	0.03873060271143913	0.42145178	No	
row_92	AKR1C3	7996	0.038335468620061874	0.4214905	No	
row_93	FOXE1	8610	0.002884984016418457	0.38560468	No	
row_94	SOD1	8715	-0.0026211461517959833	0.3795381	No	
row_95	NSUN2	9094	-0.0239276010543108	0.357635	No	
row_96	CRABP2	9383	-0.03972219303250313	0.34116566	No	
row_97	PITX2	9580	-0.050819914788007736	0.33019954	No	
row_98	GATA6	9761	-0.06131041795015335	0.32027763	No	
row_99	PIP5K1A	9791	-0.06283710151910782	0.31921822	No	
row_100	MED1	9815	-0.06465596705675125	0.31852886	No	
row_101	HOXB13	9823	-0.06500017642974854	0.31878045	No	
row_102	SOX9	10027	-0.07733479142189026	0.3076741	No	
row_103	WNT5A	10480	-0.10872308164834976	0.28229862	No	
